;Siachen Glacier (frozen);Nagorno-Karabakh (frozen);Mongolia (frozen);India (frozen);Nepal (frozen);Philippines (frozen)
2000-01-01;-0,880891;-1,671892;1,004775;-2,291625;0,105133;0,958373
2000-02-01;0,221142;-0,177088;1,01724;-0,867;-1,847589;-0,430729
2000-03-01;0,576807;1,088542;1,031942;0,756593;-3,296369;-1,177993
2000-04-01;0,86256;0,134283;0,998431;0,493936;-0,527625;0,011883
2000-05-01;-0,551072;-0,097012;0,99741;0,053784;0,773432;0,713855
2000-06-01;-0,996806;-0,025043;0,991459;-0,370861;2,632334;0,294073
2000-07-01;-0,446174;0,402686;1,006135;-0,001573;0,561532;-0,299217
2000-08-01;0,367385;-0,257151;1,000267;0,018255;-0,609238;-0,722188
2000-09-01;0,99634;-0,212526;0,995915;0,116417;-0,533879;-0,413963
2000-10-01;0,139362;-0,175491;0,959954;0,938699;1,384945;0,488465
2000-11-01;-0,455966;-0,182866;0,99097;-0,128264;2,770037;0,845078
2000-12-01;-0,374698;0,254083;1,003566;-0,610307;0,505397;0,372659
2001-01-01;0,385012;0,722196;1,005155;0,008788;-0,279275;-0,575182
2001-02-01;0,865976;0,192024;0,999966;0,223507;-0,028035;-0,756326
2001-03-01;-0,82133;-0,35946;1,003218;-0,41168;-0,662043;0,354635
2001-04-01;0,016901;-0,345107;0,999088;0,097123;0,88887;1,067927
2001-05-01;-0,330159;0,157767;1,025913;5,773946;-0,467421;-0,130712
2001-06-01;1,763835;0,440256;1,007997;-0,177784;-0,248369;-1,32381
2001-07-01;8,091981;-0,044227;0,993359;-0,500154;-0,042541;-0,758557
2001-08-01;-0,24284;-0,233819;0,972797;0,218316;0,323263;0,152965
2001-09-01;-1,257146;0,132468;0,991939;0,965416;-0,395477;1,336018
2001-10-01;0,618848;-0,191843;0,998045;-0,201544;-0,485535;0,798453
2001-11-01;2,016528;-7,330527;1,008784;-1,038917;0,709478;-0,13242
2001-12-01;-0,366218;-0,172034;0,999798;0,003061;0,183312;-0,864258
2002-01-01;-3,135748;0,195113;0,99461;1,49225;0,173395;-0,339088
2002-02-01;-1,145283;0,029329;1,000425;1,007423;0,55851;1,08054
2002-03-01;1,438104;-0,143819;1,023252;-0,353252;-0,018061;0,147091
2002-04-01;1,815299;0,092736;1,003804;-0,928949;-0,837873;-1,175954
2002-05-01;0,626389;2,241668;0,997003;-0,00713;-3,248372;6,403071
2002-06-01;-0,420903;1,998924;0,997289;0,581386;-0,537967;0,419994
2002-07-01;-0,681701;-0,349718;1,005235;-0,15416;0,499097;0,755371
2002-08-01;-0,135087;-1,220529;0,99714;-0,98501;-0,190531;0,222104
2002-09-01;0,483536;-0,40825;1,007423;-0,281897;0,710243;-0,720697
2002-10-01;-0,031881;0,551183;1,002105;1,278338;0,399564;-0,547382
2002-11-01;-0,746817;1,260107;0,995922;0,544771;-0,047727;0,363223
2002-12-01;0,061567;-0,288101;0,988155;-0,370944;12,948955;0,53852
2003-01-01;0,470144;-3,740171;1,004016;0,464879;-0,569682;0,264517
2003-02-01;0,716771;-0,088473;0,997867;0,070269;-0,445279;-0,174749
2003-03-01;-0,154715;0,18654;1,000575;-0,080007;1,049254;-2,51041
2003-04-01;-0,86068;-0,109902;0,996197;-15,413633;2,45541;-2,710879
2003-05-01;-0,273772;-0,128289;1,005372;-0,352947;0,115699;-0,207382
2003-06-01;0,342614;9,816053;0,998749;-0,429997;0,080503;0,929372
2003-07-01;0,267089;0,415068;1,000035;-2,822227;-0,505761;0,627813
2003-08-01;0,052264;0,063897;1,002106;0,085828;0,322718;-9,197306
2003-09-01;0,102422;-0,206627;1,004171;-0,982981;0,030345;-0,210362
2003-10-01;-10,914548;-0,469468;0,995109;-0,35945;-0,541468;-0,698578
2003-11-01;0,362466;-0,248786;0,998368;0,507211;-0,801412;-0,416336
2003-12-01;-0,034405;0,30774;1,00147;0,278978;0,361743;0,482177
2004-01-01;-0,810261;-0,15674;0,996137;0,087382;0,550586;-0,008057
2004-02-01;-0,456369;-14,086003;0,977267;0,132153;0,506536;-6,830806
2004-03-01;-0,241498;0,526252;0,997125;-0,033941;0,02381;-4,318137
2004-04-01;0,897375;-15,724253;1,015469;-0,507732;0,143373;-3,459942
2004-05-01;0,281855;0,012855;1,020178;0,050823;-0,858444;-2,015558
2004-06-01;-0,009073;-0,7829;1,00303;0,855427;0,871428;-1,964024
2004-07-01;-0,011259;-0,520097;0,999095;0,281352;-0,864523;-2,031929
2004-08-01;7,320046;0,06327;1,001879;-0,318678;0,338145;-0,734488
2004-09-01;-0,625332;0,442749;0,996476;-1,119;-0,465404;0,61097
2004-10-01;-0,457948;0,216875;0,982875;-0,699747;0,360287;1,810222
2004-11-01;1,152175;-0,098212;0,99785;0,665302;2,759128;-0,885362
2004-12-01;1,999732;-0,05501;1,006587;0,88842;0,300024;-1,608708
2005-01-01;0,950239;-0,045799;1,001904;-0,877881;-0,442395;-5,270522
2005-02-01;0,35251;0,298323;0,997071;-0,914187;19,002196;-0,006913
2005-03-01;-1,374814;-0,248966;1,004599;0,800827;-0,056821;0,575786
2005-04-01;-0,703619;-0,262827;0,995617;0,433012;-0,466914;0,313672
2005-05-01;-0,585589;0,070735;1,002675;-0,274848;0,33311;0,078854
2005-06-01;0,125668;0,052763;0,999874;0,155638;-0,090959;-0,653766
2005-07-01;0,096744;0,234469;0,997892;0,337729;-0,093821;-0,064124
2005-08-01;0,282969;1,657874;0,993832;0,206682;-0,93744;-10,694794
2005-09-01;0,515457;0,134873;1,001436;-0,369915;0,90283;-0,301525
2005-10-01;-0,12193;-0,279965;1,004161;-0,823897;2,781098;4,81695
2005-11-01;0,029059;-0,051737;1,004053;0,035195;0,359141;3,722588
2005-12-01;0,150945;-0,131374;0,998038;1,142735;-0,490984;2,173919
2006-01-01;-0,87789;-1,395965;1,001245;0,819734;0,840621;1,81409
2006-02-01;-0,499263;-0,332974;1,005576;-0,398366;-0,19683;1,279291
2006-03-01;0,533179;8,689946;0,994254;-0,662319;-0,627187;0,453755
2006-04-01;2,171531;0,447068;0,973576;0,643356;5,048755;0,715337
2006-05-01;0,495948;-0,393995;0,985009;0,297145;0,358725;2,702086
2006-06-01;-0,461407;-0,047483;0,996944;-0,973956;-0,937338;0,635667
2006-07-01;0,211535;0,521916;1,004914;-0,380698;0,063322;-1,956458
2006-08-01;0,510204;2,524165;1,00589;0,443576;1,421367;-1,299096
2006-09-01;-0,61057;2,182616;1,02039;1,218135;-0,133497;0,486794
2006-10-01;-2,017517;-0,316653;1,008186;1,05429;-0,299806;6,745777
2006-11-01;-0,193542;-1,397457;0,998336;-0,707643;0,346284;4,053291
2006-12-01;1,385658;-18,11778;0,993249;-2,671308;3,906522;3,128294
2007-01-01;0,203604;0,02362;0,992822;-0,468723;-0,592904;2,711539
2007-02-01;-0,965345;-0,714994;0,996352;0,217287;-0,073563;4,190476
2007-03-01;0,020465;-0,343065;1,002956;0,268199;0,169096;1,082849
2007-04-01;2,346758;0,469389;0,988432;0,000209;0,403656;-1,752886
2007-05-01;1,162599;0,260516;1,001259;0,113882;0,335638;0,041448
2007-06-01;-0,24911;0,170818;1,006162;-0,051166;0,214307;2,407081
2007-07-01;-0,320344;0,087229;1,019571;-0,606854;7,960733;0,399148
2007-08-01;-0,069004;-0,169217;1,00431;-0,184064;4,917913;-1,942334
2007-09-01;-0,025782;-0,718579;1,000768;9,481857;4,103034;-0,43658
2007-10-01;-0,327782;0,907834;0,997316;6,738713;-9,473695;0,175903
2007-11-01;-0,295198;-5,926115;0,993924;1,828772;1,545889;0,888948
2007-12-01;-0,051785;-0,509014;0,999984;0,031757;1,850485;0,778724
