;Siachen Glacier (frozen);Nagorno-Karabakh (frozen);Mongolia (frozen);India (frozen);Nepal (frozen);Philippines (frozen)
2000-01-01;-1,889834;-10,418864;0,874066;2,578442;6,70943;2,603432
2000-02-01;-2,154323;-6,536228;0,963575;3,60723;4,088909;0,811357
2000-03-01;-0,703735;0,440729;1,025118;0,687882;0,863785;-0,325186
2000-04-01;-0,407491;5,031323;1,095883;-0,906944;-3,961623;-1,540206
2000-05-01;-0,565737;7,15341;1,075266;-1,517556;-6,791604;-1,760111
2000-06-01;0,098456;8,383589;1,067886;-2,621004;-5,837957;-1,678781
2000-07-01;-0,457001;5,422404;1,083076;-2,957269;-3,669174;-1,482386
2000-08-01;1,260544;3,038526;1,052426;-2,240107;-2,982613;-0,643227
2000-09-01;3,087969;-0,715785;0,969653;-0,248795;-0,921436;-0,095951
2000-10-01;2,680547;-1,695847;0,971104;0,596124;3,946784;0,578339
2000-11-01;0,194256;-4,144542;0,931464;1,348256;4,223364;1,404818
2000-12-01;-0,815898;-5,877882;0,894019;2,111339;4,174403;2,071343
2001-01-01;-1,692096;-10,428045;0,872445;2,641116;6,545768;2,543247
2001-02-01;-2,831305;-6,590678;0,959939;3,052839;4,380928;0,814623
2001-03-01;-0,75792;0,430209;1,023587;0,676603;1,089475;-0,209759
2001-04-01;-0,416417;5,026682;1,094269;-1,052707;-3,832154;-1,494219
2001-05-01;-0,607139;7,063265;1,076064;-1,710247;-6,798002;-1,698086
2001-06-01;0,1633;8,193589;1,067999;-2,105999;-5,795624;-1,65478
2001-07-01;-0,286126;5,358981;1,082689;-2,945521;-3,97496;-1,477229
2001-08-01;1,268752;3,275051;1,053921;-2,153682;-2,885705;-0,627495
2001-09-01;2,756454;-0,541227;0,976187;-0,4865;-0,789567;-0,037112
2001-10-01;2,643468;-1,570893;0,972661;0,539126;3,560923;0,431048
2001-11-01;0,554091;-4,054552;0,93454;1,277431;3,905469;1,167868
2001-12-01;-0,799379;-5,843438;0,894888;1,957735;3,862916;1,961443
2002-01-01;-1,582427;-10,56662;0,868503;2,332124;6,486858;2,372854
2002-02-01;-2,885873;-6,783439;0,953511;2,954436;4,885788;0,891495
2002-03-01;-1,024845;0,481669;1,018915;1,300622;1,544696;0,139304
2002-04-01;-0,442827;5,096321;1,091391;-1,081954;-3,599682;-1,297707
2002-05-01;-0,540221;6,849576;1,076742;-1,569893;-6,695579;-1,605226
2002-06-01;0,004135;7,661348;1,067001;-2,004026;-5,489296;-1,67574
2002-07-01;-0,083069;5,249169;1,082699;-2,598986;-4,530391;-1,450035
2002-08-01;1,309159;3,677742;1,056493;-2,142374;-2,821593;-0,584626
2002-09-01;2,62977;-0,092806;0,986302;-0,892637;-0,676948;-0,011365
2002-10-01;2,372859;-1,268308;0,976066;-0,085648;3,115757;0,16074
2002-11-01;0,836759;-3,880633;0,938776;1,592769;3,401478;0,79898
2002-12-01;-0,455536;-5,753734;0,897968;1,936883;3,463368;1,756518
2003-01-01;-1,427739;-10,805889;0,864952;2,250054;6,369023;2,253584
2003-02-01;-3,049709;-7,147845;0,945015;2,752109;5,293481;1,07069
2003-03-01;-1,26266;0,385271;1,012498;1,036097;1,99782;0,545453
