;Siachen Glacier (frozen);Nagorno-Karabakh (frozen);Mongolia (frozen);India (frozen);Nepal (frozen);Philippines (frozen)
2000-01-01;131,74472;96,890291;97,923091;109,090785;148,843335;92,310908
2000-02-01;131,639397;97,467596;97,113298;109,378598;149,544027;92,610634
2000-03-01;131,483842;98,11361;96,207578;109,632405;150,285309;93,043441
2000-04-01;131,254591;98,79506;95,275929;109,812799;151,052239;93,595194
2000-05-01;131,025379;108,311073;94,428072;109,883836;151,721034;94,213077
2000-06-01;130,908741;89,125439;93,809261;109,826696;152,125156;94,916456
2000-07-01;130,91537;89,662203;93,53915;109,570041;152,119757;95,774016
2000-08-01;130,97689;90,232439;93,700561;109,073468;151,693958;96,760119
2000-09-01;131,030721;90,92333;94,209088;108,411116;151,008633;97,744791
2000-10-01;130,923737;91,738867;95,002889;107,59915;150,172221;98,641176
2000-11-01;130,541504;92,606064;95,999833;106,64173;149,294138;99,374158
2000-12-01;129,864329;93,434492;97,036682;105,656948;148,470555;99,850716
2001-01-01;129,049289;94,161297;97,985148;104,778331;147,720303;100,019983
2001-02-01;128,283356;94,747513;98,685188;104,062852;147,093191;99,888431
2001-03-01;127,682658;95,179336;99,015954;103,487643;146,688095;99,523439
2001-04-01;127,227272;95,502344;98,955358;103,038526;146,605212;99,027183
2001-05-01;126,884531;95,746372;98,539819;102,686136;146,833753;98,509784
2001-06-01;126,654046;95,933918;97,918252;102,353244;147,358092;98,042739
2001-07-01;126,489517;96,065662;97,3047;102,012127;148,186778;97,630155
2001-08-01;113,932597;96,15228;96,809789;101,654247;149,254935;97,214698
2001-09-01;113,728035;96,243277;96,519211;101,340474;150,502153;96,765062
2001-10-01;113,511617;96,403833;96,464374;101,152445;151,803608;96,241801
2001-11-01;113,430048;96,684916;96,636936;101,112227;152,951159;95,564347
2001-12-01;113,576253;97,081619;96,998226;101,158739;153,73996;94,722304
2002-01-01;113,923947;97,553728;97,459511;101,257843;154,079223;93,837272
2002-02-01;114,316714;98,031046;97,978987;101,40075;153,990895;93,074015
2002-03-01;114,594861;109,212542;98,546554;101,538411;153,590579;92,55423
2002-04-01;114,655453;109,559774;99,138038;101,603687;153,081285;92,269984
2002-05-01;114,46507;109,777599;99,745868;101,623594;152,666206;92,128133
2002-06-01;114,020557;109,893807;100,27521;101,728223;152,409215;92,05298
2002-07-01;113,453144;109,922057;100,586448;101,955999;152,202575;92,038823
2002-08-01;112,948549;109,843609;100,647068;102,239683;151,893079;92,085814
2002-09-01;112,67705;109,625418;100,467922;102,466761;151,317772;92,148052
2002-10-01;112,710577;109,284057;100,119925;102,497942;150,481698;92,178196
2002-11-01;112,911375;108,865374;99,717077;102,247692;149,566711;92,187632
2002-12-01;113,131445;108,428103;99,427449;101,624264;148,795442;92,164103
2003-01-01;113,277639;108,056897;99,402677;100,56225;148,311615;92,077264
2003-02-01;113,360618;107,848149;99,6856;99,135222;148,118254;91,95062
2003-03-01;113,4173;107,857115;100,22606;97,557008;148,080768;91,859424
2003-04-01;113,483645;108,047752;100,962274;96,035145;148,047938;91,880278
2003-05-01;113,588959;108,326224;101,755975;94,698093;147,866683;91,994288
2003-06-01;113,753599;108,556838;102,510302;93,646691;147,483516;92,059795
2003-07-01;113,926251;108,720645;103,18674;92,970203;146,99162;91,961301
2003-08-01;113,943657;108,878536;103,763898;92,69111;146,583693;91,693133
2003-09-01;113,673361;109,111522;104,261325;92,730569;146,434319;91,350353
2003-10-01;113,090378;109,5026;104,758321;92,98986;146,596483;91,104269
2003-11-01;112,368012;110,106443;105,368004;93,310673;146,996675;91,074486
2003-12-01;111,743875;110,907725;106,19042;93,527829;147,437592;91,292
2004-01-01;111,383834;111,766156;107,247833;93,560981;147,725258;91,669074
2004-02-01;111,358433;112,477906;108,478384;93,382249;147,667266;92,017659
2004-03-01;111,630701;112,905486;109,721177;92,982333;147,187164;92,195497
2004-04-01;112,061118;113,063578;110,777022;103,859184;146,278764;92,230067
2004-05-01;112,459672;113,084102;111,468589;103,052587;145,080193;92,257237
2004-06-01;112,768741;113,124856;111,720561;102,03874;143,768816;92,381781
2004-07-01;113,028947;113,286814;111,604715;100,923143;142,478761;92,614986
2004-08-01;113,375501;113,580239;111,335014;99,858407;141,217612;92,89193
2004-09-01;113,905986;113,96598;111,136314;98,941599;139,964131;93,162482
2004-10-01;114,525592;114,328152;111,177052;98,287113;138,702244;93,422927
2004-11-01;114,983583;114,545492;111,475383;98,01293;137,41704;93,731088
2004-12-01;114,989178;114,58178;111,930591;98,141463;136,147451;94,194066
2005-01-01;114,434324;114,482983;112,426296;98,584704;134,981414;94,837936
2005-02-01;113,411645;114,338008;112,85609;99,227244;134,006403;95,62598
2005-03-01;112,192598;114,199547;113,149794;99,987825;133,318218;96,456879
2005-04-01;111,14212;114,078137;113,319351;100,773008;132,978495;97,157722
2005-05-01;110,514109;113,937423;113,484442;101,439734;133,031855;97,614414
2005-06-01;110,342815;113,731554;113,779745;101,85892;133,458824;97,873976
2005-07-01;110,49609;113,418972;114,234934;101,984413;134,164542;98,024132
2005-08-01;110,768275;112,982801;114,786466;101,963924;135,05167;98,129105
2005-09-01;110,92721;112,438688;115,369617;101,984342;136,012783;98,222098
2005-10-01;110,943018;111,868612;115,824648;102,060268;136,882943;98,251218
2005-11-01;110,93569;111,428891;115,984979;102,126273;137,539677;98,159319
2005-12-01;111,095758;111,211599;115,753741;102,161627;137,961732;97,927525
2006-01-01;111,533786;111,216529;115,098003;102,089941;138,164136;97,582531
2006-02-01;112,238251;111,400271;114,167219;101,813588;138,241661;97,185139
2006-03-01;113,133594;111,660211;113,227838;101,346618;138,348251;96,698806
2006-04-01;114,034371;111,888271;112,488959;100,817275;138,5994;96,114088
2006-05-01;114,754026;111,969183;112,050259;100,424384;138,980675;95,488653
2006-06-01;115,158523;111,825851;111,878925;100,247013;139,466868;94,857323
2006-07-01;115,223517;111,421346;111,801021;100,221994;139,97879;94,262971
2006-08-01;115,048991;110,80347;106,01714;100,214566;140,407118;93,793409
2006-09-01;114,722519;110,045792;105,488512;100,134669;140,644906;93,504016
2006-10-01;114,266035;109,232357;104,669103;99,999606;140,711019;93,415764
2006-11-01;113,668318;108,494131;103,795962;99,853193;140,666871;93,503322
2006-12-01;112,998001;108,011575;103,158338;99,76996;140,575499;93,658206
2007-01-01;112,311707;107,938442;103,059013;99,88724;140,492746;93,791357
2007-02-01;111,641858;108,312748;103,586295;100,266846;140,416247;93,869774
2007-03-01;110,964583;109,081731;104,642604;100,822613;140,202624;93,94726
2007-04-01;110,284761;110,084277;106,007791;101,457723;139,725716;94,074298
2007-05-01;109,631078;111,163609;107,402117;102,131947;138,972079;94,241779
2007-06-01;109,00894;112,221995;108,543028;102,863836;137,967329;94,494795
2007-07-01;108,475008;113,168729;109,318325;103,623782;136,83548;94,874333
2007-08-01;108,114254;113,944505;109,76534;104,305809;135,768892;95,318854
2007-09-01;108,08069;114,572521;110,015554;104,794428;134,929498;95,648801
2007-10-01;108,480119;115,10822;110,23883;105,019471;134,324058;95,683411
2007-11-01;109,253186;115,50497;110,531586;105,007945;133,910957;95,342566
2007-12-01;110,18581;115,675329;110,943866;104,852251;133,554757;94,646302
2008-01-01;111,02664;115,592554;111,424379;104,666023;133,09254;93,668496
2008-02-01;111,627559;115,324358;111,919779;104,546111;132,466461;92,507453
2008-03-01;111,878375;115,033988;112,399687;104,515855;131,761908;91,296668
2008-04-01;111,742317;114,907318;112,82907;104,458464;131,086231;90,130429
2008-05-01;111,287341;114,993563;113,175147;104,23472;130,546527;89,078197
2008-06-01;110,632166;115,157213;113,440717;103,811665;130,248826;88,18137
2008-07-01;109,876377;115,277772;113,674128;103,298933;130,205145;87,479137
2008-08-01;109,097307;115,281954;113,896056;102,847429;130,373599;87,080284
2008-09-01;108,356322;115,151535;114,110606;102,555026;130,702036;87,110718
2008-10-01;107,677976;114,917032;114,286572;102,441156;131,1568;87,55444
2008-11-01;107,121551;114,714662;114,418421;102,372803;131,681445;88,190872
2008-12-01;106,749772;114,679989;114,520664;102,164827;132,209128;88,818558
2009-01-01;106,555372;114,889667;114,605878;101,68891;132,706747;89,366263
2009-02-01;106,421301;115,290238;114,715329;100,944254;133,039453;89,803068
2009-03-01;106,268688;115,703331;114,847805;100,025426;133,047923;90,187327
2009-04-01;106,073814;115,972334;115,031891;99,062759;132,670165;90,635641
2009-05-01;105,826174;116,037236;115,296314;98,182719;131,926867;91,184227
2009-06-01;105,520715;115,966212;115,612836;97,431644;130,891463;91,729685
2009-07-01;105,13866;115,852567;115,845889;96,838414;129,744656;92,125453
2009-08-01;104,650787;115,823111;115,9101;96,423875;128,703742;92,214871
2009-09-01;104,062678;116,031714;115,780306;96,252025;127,909046;92,008433
2009-10-01;103,369342;116,585576;115,492658;96,360567;127,42025;91,70969
2009-11-01;102,592717;117,418399;115,159047;96,810581;127,122865;91,593125
2009-12-01;101,772529;118,312052;114,940162;97,543705;126,869277;91,785694
