;Siachen Glacier (frozen);Nagorno-Karabakh (frozen);Mongolia (frozen);India (frozen);Nepal (frozen);Philippines (frozen)
2000-01-01;128,973996;84,799536;85,999948;109,377602;155,657899;95,872714
2000-02-01;129,706216;90,75428;95,189172;112,118827;151,785348;92,991262
2000-03-01;131,356914;99,642881;101,774398;111,076881;147,852726;91,540262
2000-04-01;131,70966;103,960666;104,247492;109,39979;146,562991;92,066871
2000-05-01;129,908571;115,367471;101,272376;108,420064;145,702862;93,166821
2000-06-01;130,010391;97,483985;99,321957;106,834832;148,919534;93,531748
2000-07-01;130,012195;95,487294;101,931548;106,611198;149,012115;93,992413
2000-08-01;132,604819;93,013814;98,639262;106,851617;148,102106;95,394704
2000-09-01;135,11503;89,995019;90,976997;108,278739;149,553318;97,234878
2000-10-01;133,743646;89,867528;88,56306;109,133973;155,50395;99,707981
2000-11-01;130,279794;88,278656;88,612859;107,861722;156,287539;101,624054
2000-12-01;128,673732;87,810692;87,061989;107,15798;153,150354;102,294717
2001-01-01;127,742206;84,455447;85,927317;107,428234;153,986797;101,988048
2001-02-01;126,318026;88,348858;94,728588;107,339198;151,446084;99,946728
2001-03-01;126,103407;95,250085;101,677642;103,752566;147,115527;99,668315
2001-04-01;126,827756;100,183919;108,185116;102,082941;143,661927;98,60089
2001-05-01;125,947233;102,967404;108,782833;106,749834;139,56833;96,680985
2001-06-01;128,581181;104,567763;105,412863;100,06946;141,314099;95,064148
2001-07-01;134,295372;101,380417;104,65111;98,566452;144,169277;95,394369
2001-08-01;114,958509;99,193512;99,254315;99,718881;146,692493;96,740167
2001-09-01;115,227343;95,834518;93,461279;101,819389;149,317109;98,063968
2001-10-01;116,773933;94,641097;93,643668;101,490027;154,878996;97,471302
2001-11-01;116,000668;85,299838;91,104388;101,350741;157,566105;96,599795
2001-12-01;112,410656;91,066147;86,785052;103,119535;157,786188;95,819488
2002-01-01;109,205773;87,182221;84,187646;105,082217;160,739476;95,871038
2002-02-01;110,285558;91,276936;93,463747;105,362609;159,435193;95,04605
2002-03-01;115,008119;109,550393;102,745228;102,485781;155,117214;92,840625
2002-04-01;116,027926;114,748831;108,609993;99,592784;148,643731;89,796323
2002-05-01;114,551238;118,868842;107,078687;100,046572;142,722255;96,925978
2002-06-01;113,603788;119,554079;106,703683;100,305582;146,381952;90,797234
2002-07-01;112,688374;114,821509;109,474908;99,202853;148,171281;91,344159
2002-08-01;114,12262;112,300821;106,028803;99,112299;148,880954;91,723292
2002-09-01;115,790356;109,124362;99,82734;101,292226;151,351067;91,415989
2002-10-01;115,051556;108,566932;97,929364;103,690633;153,997018;91,791554
2002-11-01;113,001317;106,244848;93,230261;104,385232;152,920461;93,349835
2002-12-01;112,737476;102,386268;88,225095;103,190203;165,207765;94,45914
2003-01-01;112,320044;93,510837;86,323798;103,277183;154,110956;94,595365
2003-02-01;111,027679;100,611831;94,003451;101,957601;152,966455;92,84656
2003-03-01;111,999926;108,428927;101,536982;98,513098;151,127842;89,894467
2003-04-01;111,960464;113,006291;109,074453;80,277358;147,441682;88,157814
2003-05-01;112,923299;114,746519;110,118909;92,848457;141,661244;90,341142
2003-06-01;114,090069;125,37832;109,095186;91,239275;142,570205;91,303019
2003-07-01;114,171878;114,477595;111,535982;87,589561;141,259669;91,147502
2003-08-01;115,301093;113,089773;110,220434;91,109324;143,962042;81,794967
2003-09-01;116,397663;109,588821;104,338778;90,73334;145,717523;91,091437
2003-10-01;104,263889;108,041667;102,459406;92,278036;148,551777;90,27612
2003-11-01;113,486981;106,132958;99,577586;95,063214;149,163237;91,094133
2003-12-01;111,654683;105,593491;96,108364;95,809823;150,989967;93,362228
2004-01-01;109,418879;100,590505;91,964392;95,523089;154,885425;93,917758
2004-02-01;108,250764;90,650026;99,426041;96,440451;153,748902;86,389804
2004-03-01;110,162193;113,539163;109,747546;94,243604;149,270585;88,789557
2004-04-01;112,057389;102,384471;121,034604;103,032228;143,833665;88,180655
2004-05-01;112,294186;119,29067;121,782437;101,92183;138,518883;88,927144
2004-06-01;112,838071;118,668462;119,082643;101,371853;140,017399;88,683179
2004-07-01;113,249622;118,319283;120,519075;98,951191;136,09093;89,128981
2004-08-01;122,075667;118,232789;118,77013;97,871541;138,341697;91,26706
2004-09-01;115,468609;116,029414;111,325477;96,774209;138,457986;93,562723
2004-10-01;115,785799;114,021914;108,723605;97,246042;141,102713;94,851599
