;Siachen Glacier (frozen);Nagorno-Karabakh (frozen);Mongolia (frozen);India (frozen);Nepal (frozen);Philippines (frozen)
2000-01-01;129,080316;84,799536;85,999948;109,356239;155,657899;95,872714
2000-02-01;129,197367;90,75428;95,189172;111,729664;151,785348;92,991262
2000-03-01;131,3461;99,642881;101,774398;111,176822;147,852726;91,540262
2000-04-01;131,832922;103,960666;104,247492;109,230501;146,562991;92,066871
2000-05-01;129,845927;115,367471;101,272376;108,327703;145,702862;93,166821
2000-06-01;129,949773;97,483985;99,321957;107,042213;148,919534;93,531748
2000-07-01;130,118515;95,487294;101,931548;106,589836;149,012115;93,992413
2000-08-01;132,624205;93,013814;98,639262;106,97632;148,102106;95,394704
2000-09-01;135,006903;89,995019;90,976997;108,06608;149,553318;97,234878
2000-10-01;133,736882;89,867528;88,56306;109,19762;155,50395;99,707981
2000-11-01;130,394685;88,278656;88,612859;108,010734;156,287539;101,624054
2000-12-01;128,671289;87,810692;87,061989;106,939619;153,150354;102,294717
2001-01-01;127,679562;84,455447;85,927317;107,335873;153,986797;101,988048
2001-02-01;126,455807;88,348858;94,728588;107,460816;151,446084;99,946728
2001-03-01;126,060367;95,250085;101,677642;103,904899;147,115527;99,668315
2001-04-01;126,916497;100,183919;108,185116;102,116627;143,661927;98,60089
2001-05-01;125,966619;102,967404;108,782833;106,874537;139,56833;96,680985
2001-06-01;128,473054;104,567763;105,412863;99,856802;141,314099;95,064148
2001-07-01;134,288608;101,380417;104,65111;98,630099;144,169277;95,394369
2001-08-01;114,947695;99,193512;99,254315;99,764553;146,692493;96,740167
2001-09-01;115,350605;95,834518;93,461279;101,704369;149,317109;98,063968
2001-10-01;116,711289;94,641097;93,643668;101,397666;154,878996;97,471302
2001-11-01;115,940049;85,299838;91,104388;101,558122;157,566105;96,599795
2001-12-01;112,516976;91,066147;86,785052;103,098173;157,786188;95,819488
2002-01-01;109,225158;87,182221;84,187646;105,20692;160,739476;95,871038
2002-02-01;110,423339;91,276936;93,463747;105,484227;159,435193;95,04605
2002-03-01;115,005677;109,550393;102,745228;102,117668;155,117214;92,840625
2002-04-01;115,915477;114,748831;108,609993;99,811885;148,643731;89,796323
2002-05-01;114,540425;118,868842;107,078687;100,092243;142,722255;96,925978
2002-06-01;113,727051;119,554079;106,703683;100,190562;146,381952;90,797234
2002-07-01;112,62573;114,821509;109,474908;99,110492;148,171281;91,344159
2002-08-01;114,07958;112,300821;106,028803;99,210362;148,880954;91,723292
2002-09-01;115,879098;109,124362;99,82734;101,380181;151,351067;91,415989
2002-10-01;115,070941;108,566932;97,929364;103,815336;153,997018;91,791554
2002-11-01;112,89319;106,244848;93,230261;104,172573;152,920461;93,349835
2002-12-01;112,730711;102,386268;88,225095;103,253849;165,207765;94,45914
2003-01-01;112,30923;93,510837;86,323798;103,322855;154,110956;94,595365
2003-02-01;111,16546;100,611831;94,003451;102,079219;152,966455;92,84656
2003-03-01;112,106246;108,428927;101,536982;98,546005;151,127842;89,894467
2003-04-01;111,914763;113,006291;109,074453;80,037069;147,441682;88,157814
2003-05-01;112,880259;114,746519;110,118909;92,946521;141,661244;90,341142
2003-06-01;114,17881;125,37832;109,095186;91,32723;142,570205;91,303019
2003-07-01;114,191263;114,477595;111,535982;87,714264;141,259669;91,147502
2003-08-01;115,298651;113,089773;110,220434;90,890963;143,962042;81,794967
2003-09-01;116,285215;109,588821;104,338778;90,802689;145,717523;91,091437
2003-10-01;104,253075;108,041667;102,459406;92,323708;148,551777;90,27612
2003-11-01;113,610243;106,132958;99,577586;94,948194;149,163237;91,094133
2003-12-01;111,592039;105,593491;96,108364;95,717462;150,989967;93,362228
2004-01-01;109,375839;100,590505;91,964392;95,621152;154,885425;93,917758
2004-02-01;107,943105;90,650026;99,426041;96,069895;153,748902;86,389804
2004-03-01;110,099549;113,539163;109,747546;94,205513;149,270585;88,789557
2004-04-01;111,99677;102,384471;121,034604;103,185339;143,833665;88,180655
2004-05-01;112,400505;119,29067;121,782437;101,900468;138,518883;88,927144
2004-06-01;112,79237;118,668462;119,082643;101,185835;140,017399;88,683179
2004-07-01;113,206581;118,319283;120,519075;99,049254;136,09093;89,128981
2004-08-01;122,068903;118,232789;118,77013;97,935188;138,341697;91,26706
2004-09-01;115,5835;116,029414;111,325477;96,923221;138,457986;93,562723
2004-10-01;115,783356;114,021914;108,723605;97,027681;141,102713;94,851599
2004-11-01;117,015207;111,013216;106,220718;99,372546;142,944904;93,05375
2004-12-01;117,165957;108,986783;102,408818;100,628957;139,386636;94,080772
2005-01-01;114,307486;103,343225;96,538116;99,250272;141,170193;91,960684
2005-02-01;110,866807;106,053454;104,692129;100,520571;158,629226;96,869553
2005-03-01;109,59213;113,300055;113,013563;102,253256;135,230945;98,168111
2005-04-01;109,420837;118,613833;120,13444;101,495143;130,60371;97,367742
2005-05-01;109,630776;119,958706;121,021554;100,252297;128,619612;96,526608
2005-06-01;110,390519;119,831245;120,742232;100,512028;128,854708;95,39183
2005-07-01;110,928349;119,587888;123,192904;100,43911;128,693341;96,410651
2005-08-01;112,420406;119,578999;122,101197;100,869073;130,354103;86,253341
2005-09-01;113,547974;114,92192;117,060207;100,874332;135,384821;97,482416
2005-10-01;112,190847;111,636514;117,369534;100,599487;141,027974;102,580181
2005-11-01;111,68813;108,329963;112,267458;102,269629;140,45031;102,047061
2005-12-01;111,622581;105,602657;105,359883;104,419651;140,247922;101,549221
2006-01-01;109,865856;98,835427;98,222351;103,933473;145,825538;101,970047
2006-02-01;109,152326;101,713323;106,022271;103,382849;143,790117;99,713124
2006-03-01;112,460247;118,834286;110,79531;102,332519;139,664384;98,370918
2006-04-01;115,055525;116,654401;115,617729;102,153975;142,547998;97,149312
2006-05-01;114,854601;117,272704;116,572603;100,148683;135,368683;97,135765
2006-06-01;114,566387;117,622306;118,280491;98,030669;133,988036;93,538963
2006-07-01;115,87355;118,04745;121,663535;98,22592;135,233184;90,671124
2006-08-01;116,908463;118,597016;114,760225;99,617398;137,628543;91,205979
2006-09-01;116,172681;115,203694;109,812127;100,850047;138,097192;93,300753
2006-10-01;113,437724;109,65334;107,645773;100,378628;141,09787;99,598117
2006-11-01;113,935266;104,508655;100,690911;98,51661;143,144232;97,776844
2006-12-01;114,76997;84,665839;93,722956;97,629598;147,069453;98,124812
2007-01-01;111,940414;97,305525;86,760415;100,037446;146,632343;99,153536
2007-02-01;108,464567;97,620742;94,462803;102,423106;146,266618;99,402731
2007-03-01;109,837511;106,166762;102,454134;102,827222;142,822493;96,225208
2007-04-01;111,413237;114,153999;109,965062;102,524604;139,820164;92,905561
2007-05-01;110,22144;117,097667;113,276689;102,02837;136,093794;93,303753
2007-06-01;108,563248;118,1388;115,845436;101,797444;133,919199;94,930719
2007-07-01;108,667565;119,077836;120,665935;101,619372;140,541137;93,683517
2007-08-01;109,327229;119,137428;118,757014;103,293895;135,76363;92,088089
2007-09-01;110,176637;117,3096;112,984308;114,043042;135,619386;94,301796
2007-10-01;109,312048;117,474922;112,880624;111,121546;124,807797;95,161326
2007-11-01;109,144874;107,579123;107,588655;105,436614;136,941675;96,446182
2007-12-01;110,479253;110,473035;101,985573;104,822894;137,965813;96,60377
2008-01-01;110,823334;105,235318;94,553881;105,571364;148,362511;96,087087
2008-02-01;110,578042;106,48047;101,930333;106,896288;144,799448;92,837244
2008-03-01;111,261261;111,833804;109,093217;107,120664;141,377467;92,516175
2008-04-01;122,198732;116,579713;117,539688;106,148639;124,378114;91,75521
2008-05-01;109,554341;119,956253;119,226997;108,026072;128,600028;88,237742
2008-06-01;110,775544;120,323643;119,886743;103,354944;127,28277;85,91597
2008-07-01;110,797081;120,996139;123,470017;102,419779;128,085045;85,990964
2008-08-01;118,311632;121,604789;122,371839;108,989114;126,106699;85,706505
2008-09-01;110,580747;119,837305;117,253077;101,865828;126,213181;85,473146
2008-10-01;109,118874;116,211489;116,931859;100,331566;131,101454;86,810894
2008-11-01;107,077315;112,598097;113,711669;100,461203;132,87504;88,534019
2008-12-01;106,821142;111,105322;106,852787;102,164705;133,261403;89,689942
2009-01-01;106,522879;105,54972;96,90118;103,338153;139,961282;92,664796
