;period;start;end;n;missing;start;end;n;log;adjust;lp;ntd;nmh;td-derived;td-ftest;easter;nout;noutao;noutls;nouttc;noutso;;out(1);;;out(2);;;out(3);;;out(4);;;out(5);;;out(6);;;out(7);;;out(8);;;out(9);;;out(10);;;out(11);;;out(12);;;out(13);;;out(14);;;out(15);;;out(16);;;out(17);;;out(18);;;out(19);;;out(20);;;out(21);;;out(22);;;out(23);;;out(24);;;out(25);;;out(26);;;out(27);;;out(28);;;;neffectiveobs;np;logvalue;adjustedlogvalue;ssqerr;aic;aicc;bic;bicc;ser;ser-ml;mean;skewness;;;kurtosis;;;dh;lb;lb2;;;seaslb;bp;bp2;seasbp;nudruns;ludruns;nruns;lruns;arima;mean;p;d;q;bp;bd;bq;phi(1);phi(2);phi(3);;th(1);bth(1);seasonality;parameters_cutoff;model_changed;tvar-estimator;tvar-estimate;tvar-pvalue;savar-estimator;savar-estimate;savar-pvalue;svar-estimator;svar-estimate;svar-pvalue;ivar-estimator;ivar-estimate;ivar-pvalue;tscorr-estimator;tscorr-estimate;tscorr-pvalue;ticorr-estimator;ticorr-estimate;ticorr-pvalue;sicorr-estimator;sicorr-estimate;sicorr-pvalue;;;method;cycle;seasonality;irregular;tdh;others;total;logstat;levelstat;fcast-insample-mean;fcast-outsample-mean;fcast-outsample-variance;seas-lin-f;seas-lin-qs;seas-lin-kw;seas-lin-friedman;seas-lin-periodogram;seas-lin-spectralpeaks;seas-si-combined;seas-si-evolutive;seas-si-stable;seas-res-f;seas-res-qs;seas-res-kw;seas-res-friedman;seas-res-periodogram;seas-res-spectralpeaks;seas-res-combined;seas-res-combined3;seas-res-evolutive;seas-res-stable;seas-i-f;seas-i-qs;seas-i-kw;seas-i-periodogram;seas-i-spectralpeaks;seas-i-combined;seas-i-combined3;seas-i-evolutive;seas-i-stable;seas-sa-f;seas-sa-qs;seas-sa-kw;seas-sa-friedman;seas-sa-periodogram;seas-sa-spectralpeaks;seas-sa-combined;seas-sa-combined3;seas-sa-evolutive;seas-sa-stable;seas-sa-ac1;td-sa-all;td-sa-last;td-i-all;td-i-last;td-res-all;td-res-last;ic-ratio-henderson;ic-ratio;msr-global;msr(1);msr(2);msr(3);msr(4);msr(5);msr(6);msr(7);msr(8);msr(9);msr(10);msr(11);msr(12);trendfilter;seasfilter;m1;m2;m3;m4;m5;m6;m7;m8;m9;m10;m11;q;q-m2;definition;;annual totals;;spectral seas peaks;spectral td peaks;normality;;independence;;spectral td peaks;;spectral seas peaks;;number of outliers;;mean;;mse;;q;;q-m2;;seas variance;;irregular variance;;seas/irr cross-correlation;;qs test on sa;;qs test on i;;f-test on sa (seasonal dummies);;f-test on i (seasonal dummies);;combined seasonality test on sa;;combined seasonality test on sa (last 3 years);;combined seasonality test on irregular;;f-test on sa (td);;f-test on i (td);;quality
RF0610;12;1990-01-31;2020-09-30;369;0;1990-01-31;2020-09-30;369;1;;;0;0;;;;12;6;1;5;0;;TC (4-2020);-0,433911;-17,4852;AO (5-2020);-0,312311;-15,1372;TC (5-2019);-0,25867;-10,5417;AO (7-1990);-0,168744;-8,2481;AO (5-1999);-0,116756;-5,8234;AO (2-2007);-0,094999;-4,7194;TC (4-2000);-0,133141;-5,5127;LS (6-2010);0,119197;4,7488;AO (11-1995);0,097845;4,8565;TC (1-2007);-0,102317;-4,2364;TC (12-1999);-0,102161;-4,2263;AO (2-2009);0,08158;4,0698;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;356;15;787,869535571;-987,328953464;0,235402852;2004,657906929;2006,069671635;2062,781867891;-7,090351097;0,026235709;0,025714664;0,901135;Normal with Mean = 0.0 and Stdev = 0.12982269672237465;-0,010096;0,938;Normal with Mean = 3.0 and Stdev = 0.2596453934447493;2,948711;0,8434;0,01415;23,876927;Chi2 with 22 degrees of freedom ;37,830348;0,0191;1,28045;22,587379;36,634317;1,230376;-0,252043;1,530431;0,745526;3,7195;(0,1,1)(0,1,1);0;0;1;1;0;1;1;;;;;-0,21563;-0,903781;1;;;;;;;;;;;;;;;;;;;;;;;;;;x13;0,175945692;0,141169973;0,033895232;0;0,695379348;1,046390245;2439,388432597;2457,974377941;0,401853395;0,593373779;0,006713594;0;0;0,995831406;0;0;-t.-t.AT.AT.AT.AT;Present;0,910462868;0;0,365123275;0,527173819;0,524944188;0,592048861;0,457563086;--.--.--.--.--.--;None;None;0,004184479;0,367363574;0,838826341;1;0,999198302;0,756344928;--.--.--.--.--.--;None;None;0,017277401;0,83783208;0,973600119;1;0,999999999;0,941146917;0,536501908;--.--.--.--.--.--;None;None;0;0,998636761;-0,118976952;0,059084771;0,005287082;0,039938538;0,0153661;0,116386616;0,029925535;2,253700597;2,486782364;5,624676083;6,033144589;6,230110417;7,204466479;3,929916549;4,643972482;4,787454751;4,522418933;7,023984146;6,576165363;5,834343304;6,71172457;5,553568201;13 terms Henderson moving average;3x5;1,041417968;0,077497181;0,319226463;0,800482147;0,47134856;0,649870433;0,24336334;0,686002511;0,136683443;0,766630725;0,679782206;0,484713025;0,535043073;Good;0;Good;0,001;Good;Good;Good;0,993;Good;0,354;Good;0,133;Good;0,431;Uncertain;0,033;Good;0,593;Bad;0,007;Good;0,485;Good;0,535;;;;;;;Good;1;Good;1;Good;0,476;Good;0,529;Good;0,346;Bad;0,044;Good;0,262;Bad;0,005;Uncertain;0,015;Good
RF0620;12;1990-01-31;2020-09-30;369;0;1990-01-31;2020-09-30;369;1;;;0;0;;;;28;17;6;5;0;;AO (7-1990);-2,138323;-21,9865;LS (11-2013);-2,35275;-29,5385;LS (1-2015);1,707653;25,2379;TC (3-2018);-1,358991;-15,5253;AO (10-2013);-0,896723;-9,7357;AO (5-1999);-0,89443;-10,7263;AO (1-2014);-0,826687;-9,7052;AO (8-2014);0,826631;9,7733;AO (10-2014);0,701465;8,1208;AO (6-2000);-0,614922;-7,3732;LS (6-2014);-0,676817;-9,0282;TC (9-2005);-0,689927;-8,0182;LS (1-2016);0,468381;7,3325;LS (4-2018);0,468645;7,0891;TC (12-2013);-0,595661;-5,9234;AO (4-2007);-0,48984;-5,8873;AO (10-2016);-0,478586;-5,6212;AO (7-1996);-0,440718;-5,2479;AO (8-1990);-0,480178;-4,9603;TC (6-1995);-0,519135;-5,8096;AO (9-2011);-0,403013;-4,8179;AO (3-2015);-0,38295;-4,5373;AO (9-1993);-0,351823;-4,1844;LS (6-1996);-0,273679;-4,2142;TC (3-2011);-0,360991;-4,1988;AO (10-2008);-0,451787;-5,0827;AO (9-2008);-0,359768;-4,0366;AO (6-1991);0,359623;4,1332;;356;32;324,792725177;-2036,209055668;3,271108364;4136,418111335;4142,956811026;4260,415894722;-4,178220807;0,100324218;0,095856698;-2,599588;Normal with Mean = 0.0 and Stdev = 0.12982269672237465;-0,416003;0,0014;Normal with Mean = 3.0 and Stdev = 0.2596453934447493;5,048102;0;36,57134;24,093139;Chi2 with 21 degrees of freedom ;20,428589;0,4943;0,000847;23,221677;19,683862;0;-0,126022;2,17689;-0,424015;4,750941;(1,1,1)(0,1,1);0;1;1;1;0;1;1;-0,370237;;;;-0,897767;-0,706294;1;;;;;;;;;;;;;;;;;;;;;;;;;;x13;0,003759639;0,011010163;0,008982171;0;0,977629948;1,00138192;4882,530217789;5035,387185111;0,015016538;0,154452976;0,000080253;0;0;0,973353792;0;0;--.at.aT.--.AT.-T;Present;0,00666048;0;0,618289247;1;0,568834055;0,585217193;0,772914742;--.--.--.--.--.--;None;None;0,048278132;0,613481518;0,898718703;1;0,995394528;0,877055593;--.--.--.a-.--.--;None;None;0,08393804;0,897594191;0,997985674;1;0,999999978;0,954424268;0,88333207;--.--.--.--.--.--;None;None;0;0,99990086;-0,277091085;0,605516184;0,736648022;0,914793111;0,714304574;0,81936411;0,851428555;3,524685764;4,307078416;4,063662392;5,072215948;7,463615982;3,694343604;3,073006199;3,508143563;3,23164439;4,887897225;4,457423155;2,716960992;4,536050968;3,738847632;5,196930493;13 terms Henderson moving average;3x5;1,918603125;0,197877125;0,628462864;0,27216393;0,998014193;0,025464957;0,787848383;1,343503317;0,380428742;1,517253006;1,4645041;0,792332491;0,865804503;Good;0;Uncertain;0,016;Good;Good;Bad;0;Good;0,289;Good;0,36;Good;0,531;Bad;0,076;Good;0,154;Bad;0;Good;0,792;Good;0,866;;;;;;;Good;1;Good;1;Good;0,97;Good;0,971;Good;0,555;Good;0,685;Good;0,905;Good;0,737;Good;0,714;Good
RF0811;12;1990-01-31;2020-09-30;369;0;1990-01-31;2020-09-30;369;0;;;0;0;;;;2;1;1;0;0;;LS (2-2012);-42,739783;-6,1346;AO (4-1997);46,938399;4,1883;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;356;8;-1418,621973233;-1418,621973233;57892,723841039;2853,243946467;2853,658932057;2884,243392313;5,206934558;12,879508151;12,752255126;0,569807;Normal with Mean = 0.0 and Stdev = 0.12982269672237465;-0,443353;0,0006;Normal with Mean = 3.0 and Stdev = 0.2596453934447493;3,854685;0,001;13,026609;51,015421;Chi2 with 19 degrees of freedom ;35,963442;0,0107;10,944476;48,4494;34,128462;10,516479;0,756129;3,537984;0,392108;2,934803;(3,1,1)(0,1,1);0;3;1;1;0;1;1;-0,174136;-0,215662;-0,26829;;-0,989679;-0,753159;1;;;;;;;;;;;;;;;;;;;;;;;;;;x13;0,054719978;0,411373804;0,096031402;0;0,460908289;1,023033473;2913,596587756;2898,902935332;0,56726464;0,274924653;0,059077514;0;0;0;0;0;At.AT.AT.AT.at.AT;Present;0,000227608;0;0,542602438;0,004201818;0,461690696;0,430466054;0,350973789;--.--.--.--.--.a-;None;None;0,632328258;0,539202561;0,558200134;0,747115046;0,994871837;0,632796371;--.--.--.--.--.--;None;None;0,100580563;0,553067941;0,724296478;0,833277511;0,999999864;0,998144401;0,988697625;--.--.--.--.--.--;None;None;0,018792893;0,612839808;-0,531807274;0;0,000110293;0;0,001539297;0;0,031748761;6,250956257;10,210036875;5,162314571;3,14152328;6,946531934;5,299652624;4,714446387;6,596941004;7,390122866;5,959080817;2,979142656;5,61259291;5,635283545;6,825576505;4,383198648;23-Henderson;3x5;1,203407514;1,004665113;1,932975612;0,688414646;3;0,464925828;0,306559422;0,656425339;0,266450418;0,623087766;0,598855129;1,024376944;1,026813238;Good;0;Good;0,003;Good;Bad;Bad;0,001;Bad;0;Severe;0;Good;0,373;Good;0,005;Good;0,275;Uncertain;0,059;Bad;1,024;Bad;1,027;;;;;;;Good;0,833;Good;0,82;Good;0,856;Good;0,616;Good;0,724;Good;0,285;Good;0,779;Severe;0;Bad;0,002;Severe
RF0812;12;1990-01-31;2020-09-30;369;0;1990-01-31;2020-09-30;369;0;;;0;0;;;;3;2;0;1;0;;TC (3-2020);-46,22538;-7,7278;AO (4-2020);-43,241743;-6,1681;AO (2-1991);-25,275843;-4,416;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;356;9;-1177,174700281;-1177,174700281;14623,946443891;2372,349400561;2372,869631775;2407,223777139;3,847505816;6,482502187;6,409251224;0,754282;Normal with Mean = 0.0 and Stdev = 0.12982269672237465;-0,064113;0,6214;Normal with Mean = 3.0 and Stdev = 0.2596453934447493;3,484081;0,0623;4,505941;54,029494;Chi2 with 19 degrees of freedom ;42,351467;0,0016;7,022016;51,475723;40,983026;6,747412;0,252043;1,360215;0,108549;2,227847;(3,1,1)(0,1,1);0;3;1;1;0;1;1;0,174463;0,009987;-0,301812;;-0,778766;-0,901132;1;;;;;;;;;;;;;;;;;;;;;;;;;;x13;0,0437659;0,800255217;0,079488228;0;0,079191576;1,002700921;2610,293857233;2530,736462823;0,520808684;0,490839144;0,651580249;0;0;0;0;0;AT.AT.AT.AT.AT.AT;Present;0,356601855;0;0,768720943;0,029866786;0,769741573;0,682847385;0,813920837;a-.--.--.--.--.--;None;None;0,148367905;0,767545324;0,927005737;0,756356628;0,999598053;0,937192904;--.--.--.--.--.--;None;None;0,041501348;0,925618984;0,963701586;0,370818143;0,999566821;0,991951841;0,996382913;--.--.--.--.--.--;None;None;0,000118716;0,846490137;-0,553178926;0;0;0;0,000000007;0;0,000019016;8,473730051;12,426918581;5,88215382;6,664476009;6,698960775;6,927383856;5,448248829;5,517318895;4,766842403;6,041905798;6,272266857;5,16606607;6,398378476;5,622299548;5,430593291;23-Henderson;3x5;0,399298211;0,631719197;2,872069994;0,496298931;3;0,752861528;0,138024191;0,33825785;0,055208531;0,374797562;0,34541132;0,922811356;0,958789038;Good;0;Good;0,001;Good;Severe;Good;0,105;Bad;0;Severe;0;Good;0,43;Good;0,008;Good;0,491;Good;0,652;Good;0,923;Good;0,959;;;;;;;Good;0,371;Good;0,373;Good;0,999;Good;0,994;Good;0,887;Good;0,368;Good;0,96;Severe;0;Severe;0;Severe
RF0893;12;1990-01-31;2020-09-30;369;0;1990-01-31;2020-09-30;369;0;;;0;0;;;;2;1;1;0;0;;AO (12-2012);-63,737401;-6,3914;LS (12-2008);-25,25069;-4,8941;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;356;5;-1360,478697067;-1360,478697067;41900,739006617;2730,957394134;2731,128822705;2750,332047788;4,83413847;10,910370771;10,848903404;-0,570734;Normal with Mean = 0.0 and Stdev = 0.12982269672237465;-0,091646;0,4802;Normal with Mean = 3.0 and Stdev = 0.2596453934447493;3,151453;0,5597;1,155213;34,552571;Chi2 with 22 degrees of freedom ;30,398595;0,1091;0,650292;33,455785;28,961788;0,624861;1,260215;4,217756;-0,068121;10,89212;(0,1,1)(0,1,1);0;0;1;1;0;1;1;;;;;-0,873;-0,784133;1;;;;;;;;;;;;;;;;;;;;;;;;;;x13;0,039527726;0,45127059;0,129388526;0;0,361889996;0,982076838;2870,583137775;2783,128495626;0,497850482;0,786337487;0,936192296;0;0;0;0;0;AT.At.AT.AT.at.AT;Present;0,111759412;0;0,985876225;0,722421911;0,9958153;0,992425918;0,992684125;--.--.--.--.--.--;None;None;0,050063045;0,9854197;0,972091095;1;0,999752541;0,97092237;--.--.--.--.--.--;None;None;0,010871281;0,970260142;0,97914948;1;0,999671925;0,999277706;0,983680349;--.--.--.--.--.--;None;None;0,131124789;0,982837011;-0,560069982;0,431622529;0,487964155;0,538208032;0,337365256;0,537555772;0,792459986;7,537625412;13,444442214;4,9945923;5,346109448;5,405028471;5,174798509;3,964757946;4,555309377;6,894641306;4,031337453;6,270534603;5,848967123;4,685003777;6,467727405;3,585858785;23-Henderson;3x5;1,84413408;0,805507065;2,449165685;0,496298931;3;0,39783692;0,287786028;0,753979614;0,127806961;0,699466491;0,55721339;1,091217101;1,126529577;Good;0;Good;0,002;Good;Good;Good;0,561;Uncertain;0,043;Good;0,362;Good;0,398;Good;0,005;Good;0,786;Good;0,936;Bad;1,091;Bad;1,127;;;;;;;Good;1;Good;1;Good;0,972;Good;0,826;Good;0,631;Good;0,61;Good;0,641;Good;0,488;Good;0,337;Good
RF0899;12;1990-01-31;2020-09-30;369;0;1990-01-31;2020-09-30;369;0;;;0;0;;;;6;3;0;3;0;;AO (6-2017);-51,480537;-6,7194;TC (5-2020);-39,605999;-5,1624;TC (4-2009);-35,312581;-5,1032;AO (9-1990);-35,056142;-4,2529;AO (3-2016);-32,85922;-4,3159;TC (10-2012);28,168377;4,0692;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;357;11;-1295,611162559;-1295,611162559;29006,348545882;2613,222325117;2613,987542508;2655,877418717;4,562176677;9,14285418;9,013893501;-0,524715;Normal with Mean = 0.0 and Stdev = 0.12964074471043288;0,076364;0,5558;Normal with Mean = 3.0 and Stdev = 0.25928148942086576;3,332862;0,1992;2,62989;53,979216;Chi2 with 20 degrees of freedom ;26,183828;0,1598;0,419712;51,577743;25,205643;0,403344;-1,971556;10,391282;-1,112862;9,933521;(3,0,0)(0,1,1);0;3;0;0;0;1;1;-0,155592;-0,279186;-0,357994;;;-0,686526;1;;;;;;;;;;;;;;;;;;;;;;;;;;x13;0,108912741;0,693473072;0,121006718;0;0,099898677;1,023291208;2831,309229167;2726,03420214;0,678614037;0,600327828;0,463276813;0;0;0;0;0;AT.AT.AT.AT.AT.AT;Present;0,270658371;0;0,229864444;0,810700961;0,193058155;0,199354047;0,135769081;--.--.-t.--.--.--;None;None;0,102122529;0,227703327;0,96362373;0,995616846;0,999787143;0,961922308;--.--.--.--.--.--;None;None;0,736887562;0,962835518;0,978995529;0,828990442;0,9999253;0,997373207;0,93618012;--.--.--.--.--.--;None;None;0,000190374;0,882340673;-0,554170045;0;0,001724969;0;0,002118171;0,000000078;0,065276308;6,090913097;8,773635922;5,030267758;5,095480938;6,218648119;6,86224203;5,274353826;6,165016706;5,077696969;3,436935203;2,476514257;7,694451049;5,581566779;5,017756062;5,722612764;23-Henderson;3x5;0,988977167;0,644928231;1,670656185;0,064038572;1,998903092;0,412107103;0,260271761;0,554330129;0,218514095;0,453734677;0,38249274;0,737515686;0,74895908;Good;0;Good;0,002;Good;Good;Good;0,268;Bad;0;Severe;0;Good;0,486;Good;0,016;Good;0,6;Good;0,463;Good;0,738;Good;0,749;;;;;;;Good;0,829;Good;0,791;Good;0,967;Good;0,915;Good;0,671;Good;0,782;Good;0,53;Bad;0,002;Bad;0,002;Severe
RF1011;12;1990-01-31;2020-09-30;369;0;1990-01-31;2020-09-30;369;1;;;0;0;;;;3;0;1;2;0;;TC (11-2000);-0,204908;-10,0522;LS (1-2018);0,104006;7,2877;TC (7-1996);0,107985;5,2949;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;357;10;694,436358432;-969,95943697;0,387352924;1959,918873941;1960,554712091;1998,696231759;-6,677976621;0,0333629;0,032939675;0,5819;Normal with Mean = 0.0 and Stdev = 0.12964074471043288;-0,058478;0,6519;Normal with Mean = 3.0 and Stdev = 0.25928148942086576;3,185999;0,4732;1,184582;97,332418;Chi2 with 19 degrees of freedom ;27,135934;0,1015;11,388117;92,898961;26,009085;10,944012;-0,713116;3,9792;0,723686;5,272897;(3,0,1)(0,1,1);1;3;0;1;0;1;1;0,047958;-0,138936;-0,687609;;-0,232797;-0,978335;1;;;;;;;;;;;;;;;;;;;;;;;;;;x13;0,080141564;0,294503009;0,339018444;0;0,291555847;1,005218864;2234,658733521;2236,825181334;0,56901153;0,697941024;0,128324511;0;0;0;0;0;--.AT.-T.-t.at.-T;Present;0,993951863;0;0,071415364;0,003365904;0,09925692;0,045962932;0,066806439;a-.--.--.--.--.--;None;None;0,624315622;0,067754672;0,849852948;0,000010822;0,998444027;0,805026561;--.--.--.--.--.--;None;None;0,806572676;0,847334156;0,905039476;0,00000123;0,999695642;0,992835156;0,836462389;--.--.--.--.--.--;None;None;0,465037235;0,391197839;-0,591593697;0;0;0;0;0;0,000000048;18,244255939;22,062183422;5,722968757;5,416384314;5,058368813;4,742562726;5,719450332;6,206423224;6,358445723;5,368313265;5,981865362;5,901737636;6,093452249;6,629361338;5,472594601;23-Henderson;3x5;2,91616708;3;3;0,592356789;3;0,689187503;0,462569298;1,267087892;0,119166975;1,212456319;0,894843241;1,632516298;1,463501459;Good;0;Good;0,001;Good;Severe;Good;0,553;Bad;0;Severe;0;Bad;0,007;Good;0,008;Good;0,698;Good;0,128;Bad;1,633;Bad;1,464;;;;;;;Severe;0;Severe;0;Good;0,867;Good;0,765;Good;0,219;Good;0,95;Good;0,783;Severe;0;Severe;0;Severe
RF1012;12;1990-01-31;2020-09-30;369;0;1990-01-31;2020-09-30;369;1;;;0;0;;;;1;0;0;1;0;;TC (4-2006);-0,166188;-6,1211;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;356;5;622,341846218;-1025,576554148;0,601800577;2061,153108297;2061,324536868;2080,527761951;-6,316749429;0,041348044;0,041115095;-1,289594;Normal with Mean = 0.0 and Stdev = 0.12982269672237465;-0,188117;0,1473;Normal with Mean = 3.0 and Stdev = 0.2596453934447493;2,866298;0,6066;2,589596;95,715952;Chi2 with 21 degrees of freedom ;24,368065;0,2756;6,592236;91,005339;23,455374;6,334439;-0,126022;1,182467;0,851688;6,79336;(2,1,0)(0,1,1);0;2;1;0;0;1;1;0,996615;0,696971;;;;-0,852826;1;;;;;;;;;;;;;;;;;;;;;;;;;;x13;0,101470782;0,468167964;0,453165355;0;0,040369452;1,063173553;2206,172262198;2211,889017915;0,199060048;0,97378887;0,994041053;0;0;0,000001983;0;0;-t.AT.-t.-T.-t.--;Present;0,752855296;0;0,344542061;0,037026626;0,231089521;0,259115102;0,317090277;--.--.--.--.--.--;None;None;0,099830882;0,336776492;0,999681967;0,000003576;0,999946551;0,99951287;--.--.--.--.--.--;None;None;0,866154929;0,999636517;0,9998798;0,00000005;0,999997713;0,9999427;0,999903152;--.--.--.--.--.--;None;None;0,056046364;0,993909204;-0,595881496;0;0;0;0;0;0,000000762;10,405969502;15,974074881;5,999113985;6,184602906;8,643745231;5,964087306;5,956715618;6,39595334;5,112356552;5,926946374;5,400347544;5,660959401;6,198036731;6,229439207;6,013822131;23-Henderson;3x9;2,858798883;1,177476075;3;0,880530362;2,620467759;0,799645594;0,407231202;0,694000377;0,169994839;0,530753689;0,361117017;1,381724721;1,410164406;Good;0;Good;0,001;Good;Severe;Good;0,274;Bad;0;Severe;0;Good;0,316;Good;0,003;Good;0,974;Good;0,994;Bad;1,382;Bad;1,41;;;;;;;Severe;0;Severe;0;Good;0,978;Good;0,946;Good;0,921;Good;0,865;Good;0,995;Severe;0;Severe;0;Severe
RF1013;12;1990-01-31;2020-09-30;369;0;1990-01-31;2020-09-30;369;0;;;0;0;;;;3;3;0;0;0;;AO (7-1994);39,577454;11,3619;AO (5-1991);-18,70204;-5,3195;AO (9-1992);-16,169901;-4,64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;356;9;-1062,398544941;-1062,398544941;8076,476548228;2142,797089881;2143,317321095;2177,671466459;3,25380117;4,817495817;4,763059088;-0,708874;Normal with Mean = 0.0 and Stdev = 0.12982269672237465;0,407036;0,0017;Normal with Mean = 3.0 and Stdev = 0.2596453934447493;5,320838;0;44,724384;72,619468;Chi2 with 19 degrees of freedom ;231,216063;0;1,508654;69,144562;224,709464;1,449656;-0,126022;0,704376;0,745526;6,80779;(3,1,1)(0,1,1);0;3;1;1;0;1;1;0,071806;-0,151076;-0,324158;;-0,968988;-0,218902;1;;;;;;;;;;;;;;;;;;;;;;;;;;x13;0,049999356;0,478155603;0,230808613;0;0,109302253;0,868265825;2343,754432251;2258,843980266;0,510012372;0,816069243;0,997531296;0;0;0,021611466;0;0;At.A-.AT.-t.At.--;None;0;0;0,355674865;0,470327083;0,308631169;0,721595243;0,458196734;at.--.--.--.--.--;None;None;0;0,356975785;0,719116604;0,00328705;0,99127094;0,731052963;-t.--.-t.--.--.--;None;None;0,008871238;0,718579631;0,750206198;0,009399187;0,999988025;0,996283399;0,707611587;-t.--.-t.--.--.--;None;None;0;0,740806464;-0,583360569;0;0;0;0;0;0;8,540748587;14,828067536;3,728188246;5,730417442;3,843280546;5,789888572;4,407775541;2,731442871;3,306240596;4,017979098;5,982466185;3,150743864;3,508271085;2,442336259;2,868892561;23-Henderson;3x5;1,836369128;0,757267868;3;0,832501433;3;0,108724702;1,315092767;1,173714504;0,785941682;0,545330859;0,417625402;1,386819845;1,464629639;Good;0;Good;0,004;Good;Bad;Bad;0;Bad;0;Severe;0;Uncertain;0,089;Good;0,008;Good;0,816;Good;0,998;Bad;1,387;Bad;1,465;;;;;;;Bad;0,009;Uncertain;0,011;Good;0,915;Good;0,899;Good;0,214;Good;0,992;Good;0,132;Severe;0;Severe;0;Severe
RF1020;12;1990-01-31;2020-09-30;369;0;1990-01-31;2020-09-30;369;1;;;0;0;;;;7;1;3;3;0;;LS (6-2020);0,20784;9,8718;TC (1-2008);0,130327;5,8024;AO (5-2011);0,133461;4,6292;TC (7-2007);-0,113964;-5,0745;TC (1-2020);0,113859;4,3232;LS (4-2012);-0,078752;-4,4277;LS (1-2014);-0,075646;-4,2685;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;356;13;677,406132124;-947,464914618;0,452629328;1920,929829237;1921,994156722;1971,303928738;-6,469581107;0,036273722;0,035657127;-0,706148;Normal with Mean = 0.0 and Stdev = 0.12982269672237465;0,011082;0,932;Normal with Mean = 3.0 and Stdev = 0.2596453934447493;3,56939;0,0283;5,756457;58,854959;Chi2 with 19 degrees of freedom ;171,841015;0;4,879801;56,031724;165,464436;4,688971;-1,63828;7,958742;-1,371095;10,501623;(3,1,1)(0,1,1);0;3;1;1;0;1;1;0,269639;0,08844;-0,344096;;-0,803782;-0,657174;1;;;;;;;;;;;;;;;;;;;;;;;;;;x13;0,01962276;0,59630442;0,062921739;0;0,327244409;1,006093328;2104,287200054;2141,409533049;0,469733882;0,936004669;0,022028849;0;0;0;0;0;AT.AT.AT.AT.At.aT;Present;0,070024943;0;0,880932963;0,087169531;0,706890143;0,888974438;0,885806333;a-.--.--.--.--.--;None;None;0,000000002;0,878700773;0,891570368;0,004652055;0,999719265;0,89820918;--.--.--.--.--.--;None;None;0,06479662;0,893234513;0,930765368;0,000118506;1;0,999007946;0,89149147;--.--.--.--.--.--;None;None;0;0,969772935;-0,565295553;0;0,000000008;0;0,000000016;0;0,000205499;10,846621696;14,849626198;4,987703426;5,141524209;5,789751155;5,72215198;5,441413967;4,43802376;5,918953804;7,292953398;4,596346053;5,911548561;3,535047903;3,139134883;4,392951005;23-Henderson;3x5;0,757581737;0,576122239;3;0,736443575;2,590507995;0,39508137;0,194040396;0,475619586;0,187538751;0,776609377;0,694858267;0,962718183;1,010499704;Good;0;Good;0,002;Good;Severe;Uncertain;0,056;Bad;0;Severe;0;Uncertain;0,086;Good;0,019;Good;0,936;Uncertain;0,022;Good;0,963;Bad;1,01;;;;;;;Severe;0;Severe;0;Good;0,875;Good;0,909;Good;0,978;Good;0,63;Good;0,565;Severe;0;Severe;0;Severe
