;RF0610;RF0620;RF0811;RF0812;RF0893;RF0899;RF1011;RF1012;RF1013;RF1020;RF1031;RF1032;RF1039
1990-01-31;1,017065;0,990857;3,333827;4,218364;6,670964;-1,301854;1,006307;1,028499;-6,068165;0,992308;-0,654023;-2,213482;0,999572
1990-02-28;0,99951;1,006538;1,901779;0,951045;-4,981494;1,873781;1,001778;0,993591;-0,8335;1,00598;0,293422;3,289207;0,997872
1990-03-31;1,035474;1,00423;9,639343;2,013947;6,647946;2,784608;0,988649;1,003015;2,794663;1,020441;1,405471;1,811299;0,99843
1990-04-30;0,999987;1,013194;-12,338514;-5,618109;-4,338557;-9,874559;0,995082;0,963522;1,671949;0,994752;-1,339673;-10,078715;1,001052
1990-05-31;0,989966;0,981179;-5,128673;7,439069;0,363589;2,91315;1,013079;1,061287;3,554137;1,073398;3,145555;3,125775;1,004992
1990-06-30;0,991188;0,882232;-1,886393;-2,227544;-4,187145;-4,258382;0,978464;0,979158;-3,29481;0,99037;-1,818973;-3,971224;0,975304
1990-07-31;0,845131;0,11523;-6,633568;-0,406575;0,286359;-3,464162;0,991657;0,994602;0,619216;0,986083;-0,45254;-3,713857;0,995414
1990-08-31;1,001064;0,613621;33,027367;0,992116;0,573187;4,338079;1,029665;1,066787;7,262147;1,010121;0,333277;4,879409;1,013623
1990-09-30;1,003559;1,075469;-23,440026;-5,368303;-3,18722;-37,667771;0,93049;0,95043;-5,674649;0,960443;-5,653561;-2,422533;0,99552
1990-10-31;1,005539;1,046399;12,58524;1,970618;6,202101;5,565582;1,037988;1,006867;-0,779776;1,014823;0,858186;3,744544;1,003988
1990-11-30;1,003807;0,993531;11,529107;3,841163;-0,021274;8,016393;1,02831;0,994824;-3,861206;0,997572;-0,538319;1,159563;1,002572
1990-12-31;1,004261;0,957384;-0,579589;-14,280655;0,339482;-5,991693;0,954484;0,968738;-16,184517;0,92845;-0,498932;-3,778334;0,984397
1991-01-31;0,996565;0,988269;-0,28977;1,602846;-2,412633;1,362152;1,031128;1,104706;4,898258;1,017321;1,687937;4,848737;0,995023
1991-02-28;0,987569;0,989591;-2,581715;-25,678984;-2,355306;-2,047196;1,005681;1,008268;1,692126;1,004656;0,698438;-2,993452;0,997669
1991-03-31;0,995464;1,004033;-13,293481;-5,28491;18,650011;-6,553966;0,971661;1,008614;1,686838;0,980557;-1,468246;-3,562975;1,003448
1991-04-30;1,001562;0,991363;0,209341;6,110428;-9,184873;1,968867;1,008988;1,041634;-0,572935;1,01433;2,048237;5,21618;1,003568
1991-05-31;1,00753;1,023211;4,985832;1,073695;21,981982;2,786764;0,994595;1,014476;-16,902718;1,017894;-0,54086;-1,172916;0,99926
1991-06-30;1,007292;1,45901;-3,711122;-2,551438;-3,962954;-1,315482;0,938594;0,934005;-10,266514;0,972597;-2,020057;-3,358686;1,000332
1991-07-31;0,988203;1,073933;4,776075;4,353963;0,881847;9,132698;1,047777;1,013896;15,508331;1,022808;1,778094;6,237753;1,001336
1991-08-31;0,999981;0,966544;-3,863095;-2,334258;-0,605582;-3,424539;0,990922;0,955447;-6,298629;0,989507;-0,306079;-0,98216;0,998571
1991-09-30;1,001813;0,755445;0,347523;-1,596163;-0,596987;-5,412743;0,993776;0,966307;2,333859;0,97741;-2,503898;2,56088;1,002601
1991-10-31;1,009083;0,960498;10,433051;4,974266;0,452632;2,92395;1,046498;1,049123;4,799387;1,01124;1,487104;-0,210284;0,997248
1991-11-30;0,997431;1,00448;-9,958734;-2,385448;-3,732068;-1,230533;0,929898;1,02498;-1,575931;1,000688;0,28711;-3,760908;0,996475
1991-12-31;0,998291;1,032455;-10,467846;-2,536358;2,254643;5,321114;0,992091;1,037707;-1,090047;0,932547;-0,515789;-1,373072;0,998954
1992-01-31;0,989803;0,995829;6,175749;-1,813312;-0,919687;1,71674;1,019292;1,01172;0,169849;1,004569;0,486016;3,823271;0,999854
1992-02-29;1,039255;1,012648;0,433073;-0,630921;8,2029;-2,427608;0,975301;0,958656;-2,19383;1,000045;-0,094264;1,248927;1,002375
1992-03-31;1,005639;0,989717;2,844379;3,695702;-7,189502;-2,42605;0,987433;0,976678;-1,034992;0,98775;-1,270401;-1,573737;1,004129
1992-04-30;1,003668;1,001807;14,246349;3,964218;4,288454;10,82702;1,056771;1,023259;-2,776891;1,016117;1,162552;0,392837;0,998047
1992-05-31;0,996721;1,034356;-4,325115;-2,566626;-9,92908;-5,669293;0,898605;0,933464;-0,146728;0,979758;-4,634551;0,539547;0,99619
1992-06-30;0,990361;0,982157;2,175904;-0,179038;1,418546;16,143079;1,02038;1,005786;5,822425;1,015823;1,916226;3,113545;0,99577
1992-07-31;1,014153;0,951724;2,338425;-1,173721;0,07324;-0,334558;1,017082;1,041348;3,336858;1,012531;0,214012;-3,539433;1,001964
1992-08-31;1,00596;0,870972;-5,639423;-3,1295;5,371135;-13,66683;0,952432;0,987697;2,665399;0,986347;-1,199058;-2,510602;1,008745
1992-09-30;0,996606;1,010011;-8,338173;3,143508;4,973849;1,227951;1,024813;1,05876;-15,888685;1,019759;1,914319;14,336558;1,000988
1992-10-31;0,977997;1,126955;-10,914247;-1,500446;-4,219443;-0,935188;0,967196;0,989963;-5,837324;0,992681;-0,348352;-2,385434;1,001234
1992-11-30;0,989092;0,965272;3,86236;1,297611;10,466625;-2,390215;0,994183;0,984227;-1,803884;0,98622;-0,850994;-0,055146;1,001872
1992-12-31;0,998632;0,983848;3,336667;-0,902231;-8,646223;-0,478087;1,058195;1,003675;1,553599;1,013324;5,441442;3,573849;0,999774
1993-01-31;1,001056;1,022957;-29,632097;-0,717981;-3,982452;1,643472;0,929528;0,934944;-0,325952;0,946591;-4,47665;-1,315812;0,96837
1993-02-28;1,017906;0,99227;8,946041;4,037791;4,900423;2,052872;1,005283;1,059683;-2,264595;0,989166;-0,873455;-0,249704;0,976716
1993-03-31;0,992186;1,018331;2,065377;-2,115082;-4,767851;4,859214;1,026426;1,00008;-3,945667;1,009;0,539739;3,760168;0,992479
1993-04-30;1,026983;1,007085;1,974582;0,444906;0,209044;-0,28437;0,979976;1,002077;6,147979;1,002594;-0,936601;-0,999087;1,000919
1993-05-31;1,007318;0,992477;-20,144769;-3,479594;-0,739391;-6,830107;0,902948;0,923127;-0,504479;0,967806;-5,334994;-3,641955;1,006227
1993-06-30;0,994228;0,970474;-3,044677;2,170195;3,314666;-0,802846;1,05297;1,052342;16,067312;1,016161;1,265818;5,995128;0,990734
1993-07-31;0,999513;1,02666;6,665726;1,421112;1,475314;1,329909;0,97978;0,975705;15,230957;0,990872;0,04649;-0,991744;0,996663
1993-08-31;0,97763;1,021761;1,19824;1,426614;-5,640437;-6,291699;0,99908;0,992954;-0,800037;0,996586;-0,48405;-0,733863;1,002366
1993-09-30;0,975276;0,687627;12,100955;2,448369;3,739196;7,406318;1,015511;1,104409;-0,972606;1,020796;1,744215;0,432622;0,995956
1993-10-31;0,997023;0,939668;-10,170072;-7,296645;-2,346053;-4,082906;0,960239;0,986745;0,460214;0,986033;-1,123369;-0,966984;1,002662
1993-11-30;1,011889;1,046506;-6,993531;-5,017341;6,103501;3,286864;1,032482;1,000796;-0,654801;1,0061;0,863281;3,489636;1,003899
1993-12-31;1,03297;1,03189;7,59822;3,549713;0,615616;4,793156;1,012124;1,026648;-4,983246;1,034178;6,248079;0,710864;1,0025
1994-01-31;1,011279;0,791432;-4,03517;0,983691;23,347032;-3,18989;0,974244;0,966187;-1,727233;0,975216;-1,8079;-4,976859;0,999149
1994-02-28;0,994891;0,995399;-21,352423;-4,361564;-5,523948;-3,903074;0,998359;0,992203;4,058331;0,997169;0,004786;-1,002099;0,997831
1994-03-31;1,001424;0,988379;16,344746;5,6404;-12,376178;-1,686617;1,04076;1,014983;-0,532196;1,013065;0,684352;5,072874;0,997888
