;RF0610;RF0620;RF0811;RF0812;RF0893;RF0899;RF1011;RF1012;RF1013;RF1020;RF1031;RF1032;RF1039
1990-01-31;1,011737;1,088828;21,429557;-18,422452;11,933165;3,71012;1,041571;0,997664;2,77633;0,880805;-0,31644;1,30914;0,482661
1990-02-28;0,906522;1,000864;4,312238;-13,47617;-1,672778;-5,313014;0,886477;0,908133;1,602159;0,895463;2,782659;-4,383891;0,415604
1990-03-31;1,021993;1,104203;25,751687;6,715832;-3,298319;7,229095;1,022153;1,03987;1,398003;1,086036;12,458459;4,873748;0,40748
1990-04-30;0,99495;1,045795;5,070581;8,398279;1,683117;3,743773;1,006409;1,016792;7,613047;0,988574;13,361386;11,203235;0,337394
1990-05-31;1,027074;1,053231;-9,940049;2,951966;-17,31913;-1,433155;1,002165;1,009673;17,62512;0,909457;7,169319;8,880775;0,421455
1990-06-30;0,981685;0,719963;8,235001;17,600742;2,30256;7,532411;0,981963;1,043826;11,306552;1,162074;13,6515;7,210992;1,220168
1990-07-31;1,012711;0,960784;10,888212;16,357806;-1,08858;32,331806;1,010546;0,95849;10,282763;1,050616;-32,418529;5,965479;1,624846
1990-08-31;1,004551;1,047896;-58,346403;-19,315061;-36,454964;-65,147291;1,00221;0,920095;6,875312;0,839497;1,593993;-1,413693;2,098498
1990-09-30;0,991021;0,932377;28,677107;8,446275;16,620414;7,831333;1,010005;1,011262;-13,801954;1,111811;10,709618;-9,630745;2,296466
1990-10-31;1,038687;0,955935;17,556432;16,592569;6,103293;12,912129;1,044006;1,050558;-11,075289;0,985496;-0,230985;-7,811685;1,317527
1990-11-30;0,991552;1,023791;-5,025465;-1,147874;11,721494;3,851719;0,994327;1,000853;-14,334193;1,018056;-5,589197;-8,953635;0,850368
1990-12-31;1,016383;1,068935;-47,666401;-24,35728;9,594598;-7,229485;1,0009;1,042952;-20,075053;1,07425;-22,967752;-6,545009;0,527056
1991-01-31;1,012986;1,090583;20,109687;-18,749099;11,844747;3,24313;1,034808;0,995716;2,795102;0,87858;-0,550221;0,324406;0,483276
1991-02-28;0,907691;0,998901;3,703883;-13,755672;-2,100445;-5,198684;0,888724;0,908525;2,039226;0,89482;2,729806;-4,58138;0,416028
1991-03-31;1,022011;1,101464;26,050232;6,948502;-3,546266;7,683321;1,029506;1,040518;1,06268;1,08791;12,659029;5,264583;0,406839
1991-04-30;0,993572;1,043135;4,151395;7,872717;1,958272;3,516222;1,000765;1,014687;7,543748;0,984438;13,112594;10,936526;0,336958
1991-05-31;1,026652;1,044509;-8,626721;3,037034;-16,671872;-1,290112;1,002098;1,012108;17,069597;0,910383;7,108627;8,775712;0,421105
1991-06-30;0,983067;0,723702;9,129517;18,264176;3,127864;8,172316;0,986187;1,04831;11,160766;1,164413;13,853342;7,524065;1,220493
1991-07-31;1,011732;0,96691;10,328173;15,821625;-1,255379;32,03421;1,00238;0,956366;9,617943;1,047746;-32,618151;6,42564;1,626311
