;RF0610;RF0620;RF0811;RF0812;RF0893;RF0899;RF1011;RF1012;RF1013;RF1020;RF1031;RF1032;RF1039
1990-01-31;391,299739;2771,360444;226,704267;113,939795;96,702306;114,192911;106,768243;82,980294;66,846127;80,781436;87,941332;36,491198;99,774102
1990-02-28;379,243798;2826,126364;228,304515;110,492959;84,488981;117,348328;106,700706;79,835891;72,193705;81,975856;89,072386;41,921532;99,751196
1990-03-31;386,952906;2835,198533;238,994783;111,542894;95,473175;118,375438;105,986167;80,507449;76,242548;83,362239;90,492309;40,83378;99,999761
1990-04-30;367,990313;2880,520224;220,104824;103,975613;83,825185;105,829041;107,417071;77,297708;75,459562;81,491891;88,081448;29,259102;100,446578
1990-05-31;359,469016;2820,051567;230,564347;117,138942;88,017387;118,727038;110,111242;85,119491;77,565654;88,169894;92,885007;42,791106;100,98299
1990-06-30;356,805374;2587,490184;237,449474;107,727082;83,065657;111,72438;107,123668;78,536433;70,839908;81,600012;88,256641;36,067996;98,115631
1990-07-31;303,399023;347,010383;236,469531;109,940257;87,215506;112,630695;109,363442;79,818546;74,794207;81,515126;89,987719;36,736578;100,314418
1990-08-31;359,929377;1892,220452;279,847533;111,9425;87,360503;120,483696;114,421526;85,860219;81,480207;83,861432;91,20067;45,832085;102,440717
1990-09-30;361,417013;3359,568752;226,630166;106,311604;83,589264;78,371497;104,048356;76,859469;68,592316;80,120465;85,645489;39,031557;101,004004
1990-10-31;361,766812;3262,444036;265,195269;114,527185;93,089462;121,435074;116,651545;81,999881;73,576827;85,125998;92,593206;45,759258;102,358261
1990-11-30;359,298404;3049,415222;265,662819;117,310497;87,058208;123,658317;115,953838;81,69856;70,520143;84,17198;91,60534;43,798049;102,787227
1990-12-31;356,563198;2874,338507;254,019802;100,036845;87,66165;109,374907;107,841444;80,239431;58,139023;78,781801;91,980027;39,585964;101,520042
1991-01-31;351,096133;2915,37907;253,882223;116,633181;85,146896;116,42865;116,626971;92,23858;79,077865;86,750433;94,412027;49,036299;103,206064
1991-02-28;346,177105;2907,77349;250,45735;89,871243;85,412972;112,741948;113,813865;84,793303;75,614708;86,001639;93,567021;42,063013;104,041827
1991-03-31;348,466338;2978,477048;238,156977;110,56913;106,606819;108,064651;110,037394;85,405701;75,181458;84,150757;91,44486;42,369414;105,127285
1991-04-30;351,248583;2983,783465;249,921341;122,015327;79,005621;116,623322;114,404854;88,805639;72,302012;87,160973;94,933375;52,046861;105,47877
