;RF0610;RF0620;RF0811;RF0812;RF0893;RF0899;RF1011;RF1012;RF1013;RF1020;RF1031;RF1032;RF1039
1990-01-31;384,734289;2796,931876;223,37044;109,721431;90,031341;115,494765;106,099119;80,680987;72,914292;81,407617;88,595355;38,70468;99,816833
1990-02-28;379,429704;2807,770262;226,402737;109,541914;89,470475;115,474547;106,511369;80,350891;73,027205;81,488581;88,778964;38,632325;99,96387
1990-03-31;373,696526;2823,255732;229,35544;109,528947;88,82523;115,59083;107,203016;80,26547;73,447885;81,692355;89,086838;39,022481;100,156995
1990-04-30;367,995267;2843,009441;232,443339;109,593722;88,163741;115,7036;107,947925;80,224102;73,787613;81,921819;89,421121;39,337817;100,340978
1990-05-31;363,112304;2874,147325;235,69302;109,699873;87,653798;115,813889;108,689679;80,204063;74,011517;82,140925;89,739452;39,665331;100,481349
1990-06-30;359,977644;2932,892474;239,335867;109,954626;87,252803;115,982762;109,481477;80,208108;74,134718;82,393478;90,075613;40,03922;100,600061
1990-07-31;358,996433;3011,467783;243,103099;110,346832;86,929148;116,094858;110,283537;80,25178;74,17499;82,665558;90,440259;40,450435;100,776621
1990-08-31;359,546942;3083,697958;246,820166;110,950384;86,787316;116,145618;111,125032;80,484858;74,21806;83,021183;90,867392;40,952676;101,063893
1990-09-30;360,135305;3123,818615;250,070191;111,679907;86,776484;116,039268;111,820988;80,868104;74,266965;83,420328;91,299049;41,454089;101,458567
1990-10-31;359,773977;3117,783498;252,610028;112,556567;86,887361;115,869492;112,382336;81,440598;74,356603;83,882622;91,73502;42,014714;101,951689
1990-11-30;357,935664;3069,270253;254,133712;113,469334;87,079481;115,641924;112,761586;82,123661;74,381349;84,376821;92,143659;42,638486;102,523569
1990-12-31;355,050407;3002,282778;254,599391;114,3175;87,322168;115,366599;112,984073;82,828836;74,32354;84,853001;92,478958;43,364297;103,129123
1991-01-31;352,306392;2949,985007;254,171994;115,030335;87,559529;115,066498;113,106216;83,496068;74,179607;85,27341;92,72409;44,187562;103,722275
1991-02-28;350,53476;2938,359343;253,039065;115,550227;87,768278;114,789145;113,170973;84,098016;73,922581;85,603094;92,868583;45,056464;104,284895
1991-03-31;350,054254;2966,512984;251,450459;115,85404;87,956808;114,618617;113,246727;84,676294;73,49462;85,819349;92,913106;45,932388;104,766093
1991-04-30;350,700947;3009,779078;249,712;115,904898;88,190494;114,654456;113,38579;85,256047;72,874948;85,929602;92,885138;46,830681;105,103719
1991-05-31;352,076178;3031,111867;248,102078;115,691128;88,555732;114,937231;113,586552;85,832749;72,096848;85,951863;92,816008;47,754538;105,246353
1991-06-30;353,601084;3010,687338;246,824267;115,23305;89,12306;115,468358;113,865311;86,419807;71,208102;85,920836;92,740662;48,68533;105,141048
1991-07-31;354,838558;2959,71287;245,994916;114,600668;89,916629;116,2119;114,220361;87,028738;70,258528;85,866188;92,695821;49,599351;104,825566
1991-08-31;355,434155;2901,718877;245,599835;113,845897;90,905874;117,057177;114,618436;87,61958;69,308338;85,81129;92,702432;50,455544;104,4084
1991-09-30;355,387146;2861,864123;245,513091;113,025501;92,035126;117,879596;115,062432;88,187319;68,476227;85,78767;92,788072;51,208308;104,033387
1991-10-31;354,932053;2856,682151;245,569055;112,145261;93,243214;118,589139;115,520604;88,715373;67,908629;85,81404;92,955667;51,822308;103,82729
1991-11-30;354,321758;2883,634417;245,574587;111,189083;94,512313;119,105847;115,947482;89,194545;67,687288;85,896614;93,198923;52,259326;103,859114
1991-12-31;353,769225;2930,41896;245,323124;110,171883;95,823726;119,43817;116,327067;89,645403;67,823839;86,046614;93,507035;52,517336;104,135006
1992-01-31;353,167283;2974,73438;244,638714;109,131312;97,181457;119,6036;116,605057;90,066125;68,222064;86,241717;93,842787;52,579568;104,590423
1992-02-29;352,61524;2992,240186;243,394421;108,086451;98,540518;119,565981;116,747268;90,465721;68,768932;86,454466;94,165707;52,461642;105,133368
1992-03-31;352,237804;2973,078633;241,517275;107,037277;99,757245;119,331496;116,760625;90,823055;69,376098;86,665358;94,446768;52,239918;105,715383
1992-04-30;351,639866;2926,393142;239,045557;105,994417;100,7264;118,884977;116,632528;91,124921;69,950232;86,836615;94,646349;51,941801;106,324566
1992-05-31;350,36019;2873,774276;236,080892;104,944696;101,368666;118,239011;116,370909;91,377068;70,362862;86,927384;94,731756;51,625736;106,952573
1992-06-30;347,933401;2834,96851;232,935793;103,940769;101,615929;117,490194;116,011344;91,628771;70,541256;86,933789;94,697643;51,396836;107,5951
1992-07-31;344,358662;2814,379578;229,938788;102,989158;101,440201;116,704416;115,550955;91,862827;70,465613;86,846553;94,529769;51,280722;108,177721
1992-08-31;339,910676;2816,203074;227,299447;102,081135;100,839772;115,892263;115,009543;92,053622;70,144749;86,660549;94,231891;51,297643;108,567779
1992-09-30;335,474023;2840,332867;225,235136;101,24186;99,927041;115,094654;114,459688;92,19586;69,645179;86,399484;93,846422;51,492485;108,634742
1992-10-31;331,683863;2881,03838;223,817109;100,462314;98,802749;114,21784;113,932628;92,236044;69,034795;86,069459;93,403343;51,856013;108,268868
1992-11-30;329,025023;2932,932101;223,178361;99,777495;97,610424;113,198396;113,489051;92,173747;68,432811;85,694609;92,943094;52,373714;107,465385
1992-12-31;327,777695;2987,55774;223,365115;99,241819;96,462356;112,001707;113,160104;92,072809;67,963039;85,313028;92,518961;52,966056;106,375579
1993-01-31;327,629305;3032,684975;224,089745;98,795871;95,472723;110,604289;112,912627;91,998326;67,704685;84,951659;92,171805;53,535174;105,182515
1993-02-28;327,821878;3065,894208;225,020933;98,364448;94,775625;109,098503;112,73996;92,052232;67,672832;84,652479;91,936838;54,035839;104,027106
1993-03-31;327,355194;3087,614155;225,915136;97,909611;94,497602;107,589208;112,62024;92,290906;67,802249;84,443631;91,825515;54,441716;103,023169
1993-04-30;325,970306;3095,215133;226,464693;97,381774;94,733812;106,145439;112,469888;92,696558;68,00096;84,326265;91,818254;54,703848;102,232301
1993-05-31;323,991849;3082,116818;226,55952;96,832754;95,389015;104,817214;112,253803;93,251557;68,181029;84,297571;91,882461;54,798219;101,688631
1993-06-30;322,422579;3053,70671;226,163775;96,315156;96,32907;103,6468;111,984396;93,893679;68,236354;84,3407;91,988153;54,732916;101,400478
1993-07-31;322,293102;3030,759324;225,279824;95,85415;97,347785;102,650356;111,650331;94,493921;68,1294;84,416594;92,091212;54,567998;101,359847
1993-08-31;324,280183;3021,481185;224,158661;95,532935;98,303064;101,884649;111,289609;95,013308;67,933099;84,513982;92,172712;54,360277;101,523951
1993-09-30;328,244975;3026,689594;223,026087;95,380293;99,129077;101,39264;110,886398;95,421236;67,75357;84,608636;92,206293;54,132809;101,80078
1993-10-31;333,382658;3042,68598;222,085567;95,43445;99,84845;101,176011;110,406654;95,706407;67,715964;84,684718;92,191466;53,946323;102,072221
1993-11-30;338,519023;3064,628548;221,412874;95,762965;100,452776;101,214812;109,879786;95,953537;67,924383;84,756888;92,166931;53,88045;102,233076
1993-12-31;342,105094;3082,526954;220,991482;96,337812;100,944185;101,439124;109,294668;96,197194;68,383382;84,820215;92,152503;53,973944;102,206815
1994-01-31;343,545457;3098,597103;220,833024;97,115015;101,331039;101,744992;108,68616;96,470235;69,111014;84,885417;92,167722;54,259037;102,014445
1994-02-28;342,997607;3119,423377;220,869943;98,074093;101,587134;102,05581;108,114236;96,777539;70,077919;84,964771;92,236028;54,751864;101,753815
1994-03-31;341,01647;3149,747273;221,019914;99,170021;101,783585;102,311697;107,585957;97,098226;71,195379;85,059353;92,370535;55,402533;101,498957
1994-04-30;338,682675;3193,768903;221,23248;100,360366;101,979178;102,500138;107,120547;97,447713;72,309184;85,156444;92,565157;56,168753;101,301683
1994-05-31;336,523661;3243,329132;221,431071;101,578237;102,209513;102,705258;106,773765;97,882428;73,299554;85,26844;92,813834;57,056009;101,193033
1994-06-30;334,589524;3277,266124;221,495865;102,707527;102,524481;102,969172;106,529808;98,407372;74,103708;85,385998;93,084149;58,025034;101,139833
1994-07-31;332,493942;3268,689193;221,303208;103,637694;102,962748;103,276895;106,39158;99,020689;74,640727;85,496697;93,351374;59,043191;101,123384
1994-08-31;329,745438;3221,006934;220,928434;104,354146;103,583367;103,654018;106,402896;99,801749;74,889784;85,62222;93,618243;60,08282;101,138477
1994-09-30;325,744063;3156,073145;220,492482;104,838027;104,345133;104,127062;106,527647;100,734343;74,842439;85,760112;93,872271;61,095873;101,195909
1994-10-31;320,83156;3095,557949;220,120506;105,105681;105,201809;104,687442;106,755018;101,812535;74,528834;85,914928;94,110105;62,073295;101,318219
1994-11-30;315,565224;3054,068662;220,02325;105,181491;106,169894;105,394139;107,053411;103,015687;74,023801;86,096126;94,339916;62,994926;101,522789
1994-12-31;310,673462;3042,353174;220,178819;105,048288;107,237964;106,211542;107,367372;104,247416;73,443669;86,291847;94,553432;63,818764;101,779555
1995-01-31;306,880096;3056,201628;220,608232;104,766851;108,352557;107,122881;107,708682;105,450539;72,918609;86,515546;94,767812;64,544621;102,068643
1995-02-28;304,312103;3073,985734;221,249429;104,409583;109,419322;108,1057;108,046778;106,533722;72,561998;86,76736;94,984604;65,158732;102,396185
