;RF0610;RF0620;RF0811;RF0812;RF0893;RF0899;RF1011;RF1012;RF1013;RF1020;RF1031;RF1032;RF1039
1990-01-31;395,892609;3017,533674;248,133824;95,517342;108,63547;117,903031;111,206712;82,786439;69,622457;71,152733;87,624893;37,800339;48,157115
1990-02-28;343,792821;2828,569346;232,616753;97,016789;82,816204;112,035314;94,587681;72,501634;73,795864;73,406339;91,855044;37,537641;41,456954
1990-03-31;395,463148;3130,635347;264,74647;118,258726;92,174856;125,604533;108,334131;83,717281;77,640551;90,534375;102,950769;45,707528;40,747949
1990-04-30;366,131971;3012,432439;225,175406;112,373892;85,508302;109,572814;108,105499;78,595727;83,07261;80,560734;101,442834;40,462338;33,890067
1990-05-31;369,201396;2970,165061;220,624298;120,090908;70,698257;117,293883;110,349641;85,942817;95,190774;80,186719;100,054326;51,67188;42,559831
1990-06-30;350,270643;1862,89823;245,684475;125,327824;85,368217;119,256791;105,19145;81,978387;82,14646;94,82529;101,908141;43,278988;119,717564
1990-07-31;307,255605;333,40216;247,357743;126,298063;86,126927;144,962502;110,516772;76,505251;85,076969;85,641098;57,56919;42,702057;162,995456
1990-08-31;361,567333;1982,850133;221,50113;92,627439;50,905539;55,336406;114,674447;78,999544;88,355519;70,401434;92,794663;44,418392;214,971643
1990-09-30;358,171862;3132,384342;255,307272;114,757879;100,209678;86,20283;105,089345;77,725098;54,790362;89,078786;96,355107;29,400812;231,952215
1990-10-31;375,762525;3118,683881;282,751701;131,119754;99,192755;134,347203;121,784953;86,145651;62,501538;83,891323;92,362221;37,947573;134,859788
1990-11-30;356,262988;3121,963247;260,637354;116,162622;98,779701;127,510036;115,295984;81,768216;56,18595;85,691809;86,016144;34,844415;87,406937
1990-12-31;362,40471;3072,481265;206,353402;75,679564;97,256248;102,145422;107,938516;83,685915;38,06397;84,631362;69,012275;33,040955;53,506707
1991-01-31;355,655422;3179,461455;273,991911;97,884082;96,991643;119,67178;120,68655;91,843441;81,872967;76,217203;93,861805;49,360705;49,877036
1991-02-28;314,221778;2904,577751;254,161233;76,115571;83,312527;107,543264;101,149124;77,036865;77,653934;76,956008;96,296827;37,481633;43,284334
1991-03-31;356,136591;3280,684537;264,20721;117,517633;103,060552;115,747972;113,284206;88,866202;76,244138;91,548421;104,10389;47,633997;42,769915
1991-04-30;348,990878;3112,489524;254,072735;129,888043;80,963894;120,139544;114,492417;90,109889;79,84576;85,804604;108,045969;62,983387;35,541966
1991-05-31;364,181443;3239,510281;244,461189;119,801857;93,865842;116,433882;113,209681;88,129518;72,263727;79,649309;99,383775;55,357334;44,286953
1991-06-30;350,148555;3178,951332;252,242662;130,945788;88,28797;122,325192;105,397101;84,615895;72,102354;97,305814;104,573947;52,850708;128,366581
1991-07-31;354,766338;3073,355763;261,099163;134,776256;89,543097;157,378809;119,962274;84,38789;95,384802;92,017891;61,855764;62,262744;170,706751
1991-08-31;356,833208;2955,590104;184,81758;92,961082;53,083105;48,511674;114,452595;77,225563;69,769644;71,515435;94,263009;48,316851;218,700279
1991-09-30;353,058548;2011,854299;274,860485;120,258212;107,455301;120,843873;115,739968;86,088295;57,476166;93,459189;101,093321;44,017634;239,572807
1991-10-31;371,519623;2619,047041;272,766151;133,098417;99,841638;133,510286;125,536592;97,452619;61,863045;85,359255;93,978377;43,699806;136,247818
1991-11-30;350,883953;2978,837161;230,26815;107,737795;101,848335;121,212754;107,45537;91,438134;53,033373;87,738937;88,071022;39,755814;87,981982
1991-12-31;358,967586;3241,040652;187,868134;83,948043;108,849334;117,330811;115,588623;96,769876;46,924194;86,044092;70,164279;44,732298;54,827794
1992-01-31;354,04243;3243,882769;268,615593;87,468838;108,001268;123,896155;121,898097;90,895944;71,67689;75,929382;93,507354;55,394681;50,718503
1992-02-29;333,063479;3013,452686;246,222102;93,325561;103,88172;112,502096;101,664459;78,87022;69,199014;77,256177;96,672447;48,868201;43,939588
1992-03-31;362,351566;3217,793594;269,849561;117,776358;89,121617;125,422429;120,037109;92,076431;68,982789;93,308302;106,105136;56,393023;43,069376
1992-04-30;349,637224;3031,817133;257,032919;117,167866;107,311711;132,83252;122,160631;94,859561;73,917364;86,25354;108,611273;62,926536;35,681387
1992-05-31;358,420347;3070,586521;226,128131;105,683239;75,63582;111,452241;105,100331;86,455345;85,5411;77,849539;97,138082;60,826865;44,82689
1992-06-30;339,900382;2027,012255;245,925548;123,131603;107,520172;143,366312;117,560923;96,60529;87,025028;103,16393;110,86962;62,753116;131,025566
1992-07-31;352,703776;2618,318293;241,677984;116,648436;99,475491;148,011954;116,320547;91,737453;81,865106;91,736612;61,666682;55,185214;176,496777
1992-08-31;343,193874;2615,257552;166,932777;81,415885;68,566354;37,487449;111,106201;83,839134;79,20778;72,281576;95,272846;47,721484;229,328829
1992-09-30;331,559647;2660,592958;246,338358;114,193172;120,093796;125,409328;119,111844;98,410958;41,898513;98,581835;106,634402;55,738032;249,793485
1992-10-31;336,094123;3105,347795;227,486799;114,309295;99,953485;123,336355;113,518817;95,669568;53,278836;83,791912;92,25278;41,330864;142,336223
1992-11-30;323,442979;2928,334933;221,30244;100,078454;117,335451;112,725056;112,37531;90,469023;56,045835;86,601147;86,928929;43,833625;91,47151
1992-12-31;332,59811;3158,327767;180,566487;75,022085;100,460749;103,834025;120,241265;96,111874;50,829687;92,343912;75,301435;50,558119;56,072538
1993-01-31;332,509058;3403,259932;209,849437;77,167294;103,922736;114,066705;106,934447;85,876072;70,763807;70,325665;86,606351;49,370401;49,695642
1993-02-28;303,638941;3011,922315;234,831767;87,371742;96,195167;107,588946;101,894002;88,7866;68,460234;74,884296;93,704451;48,764248;42,520713
1993-03-31;332,365425;3404,717428;252,944727;103,014297;87,55062;122,269676;121,31379;95,461282;63,885886;92,941364;105,68787;63,934917;41,387918
1993-04-30;330,498204;3180,991826;231,587041;104,469484;97,516216;108,363657;108,264768;95,006079;79,545587;81,974662;103,223272;64,040731;34,364014
1993-05-31;334,376279;3109,574533;204,16886;97,190875;79,594901;97,345723;102,517849;87,065683;80,462326;75,002306;93,585401;60,180351;43,045584
1993-06-30;317,140389;2176,041199;234,99839;118,788496;104,885572;114,03127;117,710349;103,364137;93,768931;100,256634;107,745167;70,130061;123,532702
1993-07-31;325,471069;3069,493399;240,525581;111,208804;95,073097;134,476225;106,850253;88,909055;89,33455;86,929533;58,435292;61,708023;164,798629
1993-08-31;318,720345;3328,1989;173,11673;80,308091;54,599944;32,934553;113,427968;86,804713;73,690098;71,558036;94,319155;52,296996;212,133837
1993-09-30;317,571286;1937,011891;263,764871;108,447731;116,829979;118,377521;114,469921;106,324244;56,804714;96,961233;104,881423;43,988708;232,971071
1993-10-31;343,568754;2780,909234;225,346273;103,217052;102,860371;105,75865;108,616043;99,040098;59,380011;81,820489;90,082287;45,078086;133,799961
1993-11-30;340,552473;3331,842639;209,243444;89,724715;113,979143;104,402548;112,55542;95,348181;59,618759;87,584424;87,915929;48,877897;86,971515
1993-12-31;359,081056;3412,733655;184,717456;76,897559;116,060494;96,72691;111,457985;102,942744;47,040771;93,198531;75,998332;49,369746;54,064463
1994-01-31;352,330332;2689,087;228,974752;76,240911;138,20141;99,550631;107,564096;92,767127;70,8399;72,460912;89,235921;45,000688;50,248068
1994-02-28;311,251459;3046,902214;199,795029;78,567519;91,758457;96,264651;98,007142;87,463336;77,161417;75,875594;94,944882;48,42307;42,7915
1994-03-31;349,30256;3332,498512;260,253041;111,265489;89,536363;111,775978;117,724325;101,944443;70,030102;93,986163;106,87596;65,876688;41,048801
1994-04-30;330,341644;3233,898923;206,45502;102,252765;106,080944;105,008038;102,4705;95,979936;74,592748;80,01058;100,750069;53,438801;34,014798
1994-05-31;342,119503;2979,27441;235,69628;107,688639;92,049247;107,61173;107,103433;100,550824;86,194087;79,591953;99,312204;67,096402;42,566276
1994-06-30;338,304626;2558,269467;242,857952;126,79137;111,298515;117,89057;107,028229;107,660876;94,558112;100,581428;108,094214;65,615044;125,409091
1994-07-31;333,557574;3320,692796;220,011403;110,085038;99,832193;131,15185;97,947415;91,540033;116,971497;87,326366;58,702053;70,53802;165,14907
1994-08-31;331,74637;3548,790886;177,21157;93,703188;60,536472;41,64776;113,491449;94,832378;95,906031;74,809229;98,604485;62,276187;209,193291
1994-09-30;327,550866;2387,378087;243,023255;114,656475;110,425586;114,148291;109,201733;103,464882;58,751921;96,441382;104,319111;49,376053;232,795169
1994-10-31;328,957028;2976,140794;234,999256;112,194784;126,760106;110,799158;107,341366;97,830822;65,552125;83,192224;91,592532;52,91727;131,828377
1994-11-30;315,324875;3168,457362;215,409756;108,075258;106,65595;102,367795;107,451186;102,062252;75,942108;89,746611;90,086292;53,431088;85,709852
1994-12-31;315,833334;3241,259276;175,391398;86,558092;135,590826;110,536584;107,129864;106,028224;57,00852;89,271963;72,796437;57,22958;53,777759
1995-01-31;308,352957;3446,911931;230,280633;78,481348;125,604864;105,95707;108,758239;105,742275;76,954807;75,86502;93,4281;58,445588;50,819646
1995-02-28;275,66509;3009,808947;216,484536;89,901495;92,914444;111,086672;98,858382;97,861025;75,307734;77,462382;96,930468;62,83232;43,532412
1995-03-31;314,582295;3221,510209;243,610938;110,08616;119,438341;124,466768;116,013927;118,748479;78,592908;96,671338;109,929395;72,858292;41,908063
1995-04-30;293,909281;3052,149199;221,805359;104,43206;109,766016;106,919798;102,031519;102,372739;71,455426;82,15423;103,449379;73,714575;34,624075
1995-05-31;307,070319;3182,449322;231,781764;111,921731;97,486582;111,904827;115,170293;114,657443;77,291137;83,724939;104,469214;87,136403;43,273952
